Complexity,Loss,Equation
1,0.18019873,"x1"
3,0.16932838,"x1 * 1.0852438"
5,0.08167114,"x1 + (x0 * 0.07291892)"
7,0.00612846,"x1 * ((x0 * 0.11891346) + 0.7086292)"
9,0.0028886478,"((-61.995964 / (x0 + 19.903044)) - -3.8125892) * x1"
11,0.0027092681,"((-0.78113836 / ((x0 * 0.044102825) + 0.42488858)) - -2.5397444) * x1"
13,0.002495356,"(((-1.4604732 / ((x0 * 0.057128828) + 0.68267465)) - -3.0900424) + -0.25244468) * x1"
15,0.002305088,"(((x0 * 0.071907654) + (-0.33606404 / ((x0 * 0.18367039) + 0.75263983))) - -1.1592789) * x1"
17,0.0022511694,"(((-0.6319788 / ((x0 * 0.30878988) + 1.3270354)) + ((x0 * 0.070145726) - -1.201017)) * x1) - 0.017857863"
19,0.002251137,"(x1 * ((-0.5442543 / (((x0 * 0.29902095) / 1.0974314) + 1.1602055)) - ((x0 * -0.07063095) + -1.1949159))) - 0.0185051"
27,0.0022485296,"x1 * ((-4.478791 / ((((x0 + (x0 - -14.340653)) + (x1 * x0)) + x1) - ((x0 - 0.2820431) * -1.5263073))) + ((x0 * 0.08308024) - -1.0099387))"
29,0.002228194,"((-5.933564 / ((((x0 + x0) - -14.543608) + (x0 * x1)) + (x1 - (((x0 - 0.54975396) + -0.4498081) * -0.6566541)))) + ((x0 * 0.076574765) - -1.098863)) * x1"
