Complexity,Loss,Equation
1,0.1771485,"x1"
3,0.16469707,"x1 * 1.0913457"
5,0.079485185,"(x0 * 0.070349045) + x1"
7,0.0061703506,"(0.7109157 - (x0 * -0.118695594)) * x1"
9,0.00599507,"(x1 * (0.7339832 - (x0 * -0.118964575))) - 0.032102402"
11,0.0024305396,"x1 * ((0.3122743 - (x0 / (-12.573516 - x0))) * 2.2274468)"
13,0.0023836747,"((0.707634 - ((x0 / (-12.773415 - x0)) * 2.2543414)) * x1) - 0.016685627"
15,0.002354606,"((((x1 / -12.575004) - x0) + -2.842702) * (2.9159603 / (-12.460526 - x0))) * x1"
17,0.0023503494,"((((1.7091444 / (-12.608329 / x1)) - x0) * (2.2445393 / (-12.484678 - x0))) + 0.66061544) * x1"
19,0.0022697668,"((((0.2500335 - (x0 / (-30.555088 - x0))) * 0.8643766) - (0.12706947 / (x0 + 2.9256346))) * 4.11052) * x1"
23,0.0022183028,"(((0.2816452 - (x0 / (-15.437812 - (x0 + 2.4834187)))) * x1) - (0.05258071 / ((x0 + (1.4363015 / x1)) + 0.9904628))) * 2.6810088"
