Complexity,Loss,Equation
1,0.18230602,"x1"
3,0.16553672,"x1 * 1.1061698"
5,0.078949496,"x1 + (x0 * 0.073201895)"
7,0.00641389,"x1 * ((x0 * 0.11833153) - -0.7114815)"
9,0.0062474753,"(x1 * ((x0 + 6.206445) * 0.11836632)) + -0.03117028"
11,0.0028152731,"x1 * ((x0 * ((x0 * -0.0073358673) + 0.16559605)) - -0.6914893)"
13,0.00245703,"x1 * ((((0.50481725 / (x0 - -4.4263964)) + 0.06786953) * x0) + 0.7125318)"
15,0.0023712388,"(((x0 * ((0.5081413 / (x0 - -4.425424)) + 0.06746585)) + 0.72920835) * x1) - 0.021800635"
17,0.0023689494,"((((x0 * 0.0647031) + ((x0 * 0.56281596) / (x0 - -4.8240776))) + 0.7273343) * x1) - 0.022522451"
19,0.0023688793,"(((((x0 * x0) * -0.115716696) / (x0 - -4.7142544)) + ((x0 * 0.18140605) + 0.72780687)) * x1) - 0.022502353"
21,0.0023643,"((((x0 * 0.066608466) + ((x0 * 0.5311104) / (((-0.14145209 / x0) + x0) - -4.5507536))) + 0.72476417) * x1) - 0.022327524"
23,0.0023523811,"((x0 * ((x0 * -0.11451173) / (x0 - -4.629617))) + (((x0 * 0.1811938) - (0.050576452 / (x1 + 0.35527244))) + 0.7403958)) * x1"
25,0.0023494312,"(((x0 + 1.3318776) * ((x0 * -0.16101249) / (x0 - -4.9000864))) + (((x0 * 0.22526205) + 0.7493511) - (0.08407826 / (x1 + 0.6806442)))) * x1"
