Complexity,Loss,Equation
1,0.18019873,"x1"
3,0.16932838,"x1 * 1.0852438"
5,0.08167114,"x1 - (x0 * -0.07291433)"
7,0.0061284597,"(x1 * (x0 + 5.9592037)) * 0.11891344"
8,0.002317216,"(sqrt(x0 + 2.0108352) * x1) * 0.49901333"
10,0.0022672925,"sqrt(x0 + 2.009661) * (-0.0074507245 - (x1 * -0.5046606))"
12,0.0022317362,"((x1 * 0.018709248) - (sqrt(x0 + 1.920521) * -0.4916797)) * x1"
14,0.0022317157,"(((-0.028063523 - x1) * -0.018654358) - (sqrt(x0 + 1.9190366) * -0.49156296)) * x1"
15,0.0022317108,"(((0.61273813 - sqrt(x1)) * -0.04229112) - (sqrt(x0 + 1.9291271) * -0.49238673)) * x1"
16,0.002231339,"((x1 * ((x1 * -0.002826537) - -0.025991827)) - (sqrt(x0 + 1.9077922) * -0.4905237)) * x1"
18,0.0022301234,"(((((-0.02027477 / (x0 + 0.18763177)) - x1) * -0.009006585) - -0.48582727) * x1) * sqrt(x0 + 2.0076976)"
19,0.0022289187,"(x1 * ((((0.0064111454 - x1) * -0.021683667) / sqrt(x0 + 3.1339865)) - -0.4899975)) * sqrt(x0 + 1.9489145)"
20,0.0021601538,"(x1 * sqrt(x0 + 2.007871)) * ((((-0.020419315 / (0.81666356 - x0)) - (x1 / -2.621748)) * 0.022844655) - -0.48619747)"
22,0.0021599503,"(x1 * sqrt(x0 + 2.007871)) * ((((-0.020419315 / (0.81666356 - x0)) - ((0.03461929 + x1) / -2.621748)) * 0.022844655) - -0.48619747)"
26,0.0021574576,"(((((-0.017691972 / (x0 + -0.8069943)) - ((x1 / -2.6217365) - (-0.017693546 / (-0.23240036 + x0)))) * 0.021997528) - -0.4867879) * x1) * sqrt(2.0075684 + x0)"
28,0.0021220508,"(((((-0.017691972 / (x0 + -0.8069943)) - (x1 / -2.6217365)) - (-0.0644743 / ((x1 * x1) + x0))) * 0.021997528) - -0.4867879) * (sqrt(x0 + 2.0075684) * x1)"
29,0.0021117274,"(((((-0.017691972 / (x0 + -0.8069943)) - (x1 / -2.6217365)) - (-0.017693546 / (x0 + (sqrt(x1) + 0.27019992)))) * 0.021997528) - -0.4867879) * (sqrt(x0 + 2.0075684) * x1)"
