Complexity,Loss,Equation
1,0.1771485,"x1"
3,0.16469707,"x1 * 1.0913459"
5,0.079485185,"x1 - (x0 * -0.070349045)"
7,0.00617035,"x1 * ((x0 + 5.989401) * 0.1186956)"
8,0.002278838,"x1 * (sqrt(x0 + 1.9963303) * 0.4999088)"
10,0.0022361777,"(sqrt((x0 * 0.25317013) + 0.5148473) * x1) - 0.016031146"
12,0.00220774,"x1 * ((x1 * 0.016807009) + sqrt((x0 * 0.24336448) + 0.46622163))"
14,0.002207015,"((sqrt((x0 * 0.24609174) + 0.47925472) + -0.01164028) + (x1 * 0.017787484)) * x1"
18,0.0022045595,"sqrt(((x1 * 0.5506568) * x1) + ((((x1 * x0) + -0.34571934) * (0.24955057 * x1)) - -0.020573331))"
20,0.0021949522,"sqrt(((x1 * (((x0 * x1) + -0.2833089) * 0.25351912)) - -0.027043736) + (x1 * (x1 * 0.55427396))) + -0.0190827"
22,0.0021947813,"sqrt(((((x0 * x1) + -0.28422213) * 0.25387427) * x1) + ((((x1 + 0.015001761) * x1) * 0.55093944) - -0.025560385)) + -0.020726725"
26,0.0021941836,"sqrt((((((x1 + -0.023395097) * x1) * x0) * 0.2542461) + (((x0 / x0) - (x1 * 0.085333444)) - 0.9762974)) + (x1 * (x1 * 0.5473907)))"
28,0.0021898877,"sqrt((((x0 / x0) - (0.09652809 * ((x0 * 0.023506384) + x1))) + ((x1 * (x1 * 0.55282533)) + (((x0 * x1) * 0.25119963) * x1))) - 0.9714008)"
