Complexity,Loss,Equation
1,0.18230602,"x1"
3,0.16553672,"x1 * 1.106152"
5,0.07894951,"x1 - (x0 * -0.073209904)"
7,0.006413889,"x1 * ((-6.0126452 - x0) * -0.11833076)"
8,0.0024523858,"x1 * sqrt((x0 * 0.24917828) + 0.5021517)"
10,0.002374036,"(x1 * sqrt((x0 * 0.25331298) + 0.52397233)) - 0.021410638"
12,0.0023575502,"sqrt(((x0 * 0.24885803) + 0.44848996) - (x1 * -0.036917936)) * x1"
13,0.002356339,"x1 * sqrt(((0.2488458 * x0) - (sqrt(x1) * -0.08290062)) + 0.4032989)"
14,0.0023464693,"(x1 - 0.009069083) * sqrt(((x0 * 0.25239417) + 0.46971953) - (x1 * -0.026949728))"
16,0.0023272291,"(-0.02013522 + x1) * sqrt((0.2568836 * x0) + (0.5163036 - (0.0013403597 / (x0 - -0.6174638))))"
18,0.0023085198,"(x1 + -0.02013522) * sqrt(((x0 * 0.2568836) - (-0.00067770825 / (x0 - (0.730341 / x1)))) + 0.5163036)"
20,0.0023080192,"sqrt((((x0 * 0.25525564) + 0.51345485) * ((x1 + (0.00571917 / (-0.616521 - x0))) + -0.01621445)) * (x1 + -0.012585249))"
22,0.002280451,"(-0.02013522 + x1) * sqrt(((0.2568836 * x0) + 0.5163036) - (0.0013403597 / (((x0 * -0.7092206) - (-0.4963703 + x0)) + x1)))"
27,0.0022616382,"sqrt((sqrt((x1 * x1) - ((0.15137231 - (0.05350082 / ((x1 - x0) - 0.072720915))) * -0.10167109)) * (x1 - 0.05196366)) * ((x0 * 0.2577024) + 0.5200244))"
29,0.0022520812,"sqrt(((x1 - 0.09681099) * sqrt((x1 * x1) - ((0.13380446 - ((0.060283516 / ((x1 - x0) - 0.07251524)) * 0.20029892)) * -0.48376712))) * ((x0 * 0.2630315) + 0.5318643))"
