Complexity,Loss,Equation
1,0.15773232,"x1"
3,0.13980603,"x1 * 1.1118941"
5,0.073034644,"(x0 * 0.07102769) + x1"
7,0.0027765164,"(x0 + 5.826301) * (x1 * 0.12135732)"
8,9.942426e-7,"x1 * (sqrt(x0 - -2.0000231) * 0.50000167)"
10,9.9303e-7,"((x1 * sqrt(x0 - -1.9998982)) * 0.4999853) - -7.1568116e-5"
12,9.912552e-7,"((sqrt(x0 - -1.9999686) * 0.5000047) - (1.6559228e-5 / x0)) * x1"
14,9.287806e-7,"((1.6712256e-5 / (x1 - 1.8180113)) + x1) * sqrt(0.49993163 - (x0 * -0.25006685))"
16,9.2819556e-7,"1.4662919e-5 + (((1.4662919e-5 / (x1 - 1.8179293)) + x1) * sqrt(0.49991274 - (x0 * -0.25006106)))"
18,9.123588e-7,"x1 * sqrt(0.49991256 - ((x0 * -0.250034) + (-0.00025256828 / (((-0.89693695 - x0) + x1) + x1))))"
19,8.917388e-7,"sqrt(0.4999445 + ((-0.00017600643 / ((x0 / (sqrt(x1) + 0.16204715)) - x1)) - (-0.2500349 * x0))) * x1"
21,8.8712835e-7,"x1 * sqrt(0.4999445 + ((-0.00017600643 / ((x0 / sqrt((x1 * 1.178241) + 0.16204715)) - x1)) - (-0.2500349 * x0)))"
22,8.593575e-7,"(x1 * 0.78652567) * ((0.00020641397 / (((x1 + -0.9731236) / 0.72126764) + (x1 - x0))) + sqrt(0.8081619 - (x0 * -0.40420485)))"
24,8.464845e-7,"x1 * sqrt((0.8939901 - ((-0.00037945987 / (x1 + ((((x0 + -0.6312636) * 0.27199066) * x1) - x0))) + (x0 * -0.4471976))) * 0.559162)"
26,8.4479166e-7,"(x1 * sqrt(0.9783946 - ((-0.0004098348 / (((x1 + 0.07661238) * (0.2662514 * (-0.67602587 + x0))) + (x1 - x0))) + (x0 * -0.48944122)))) * 0.71477115"
28,8.4392525e-7,"(sqrt(0.9783953 - ((-0.00040117253 / ((-0.011502344 - x0) + (x1 + (((x0 + -0.6338605) * (x1 + 0.07039677)) * 0.2662513)))) + (x0 * -0.48944157))) * x1) * 0.7147729"
30,8.4171023e-7,"sqrt(1.0337725 - (x0 * -0.51699704)) * ((x1 + (0.00017355896 / (((((x0 + -0.54526585) * (x1 * 0.25102007)) / (x0 / x1)) * x1) + (x1 - x0)))) * 0.6954512)"
