Complexity,Loss,Equation
1,0.14871436,"x1"
3,0.13031267,"x1 * 1.1153247"
5,0.06750588,"(x0 * 0.07095716) + x1"
7,0.002748119,"(x1 * 0.12064537) * (x0 + 5.892957)"
8,9.673763e-7,"(x1 * 0.500063) * sqrt(x0 + 1.9991045)"
10,9.628347e-7,"x1 * ((sqrt(x0 + 2.0022402) * 0.5003226) + -0.0009742563)"
12,9.602824e-7,"(x1 - -9.6413496e-5) * ((sqrt(x0 + 2.0022793) * 0.5002972) + -0.0010031685)"
14,9.0111956e-7,"((sqrt(x0 + 1.9994096) + (0.00013286574 / (x0 + -1.3348943))) * 0.5000449) * x1"
16,8.9906115e-7,"x1 * ((5.65762e-5 / ((x0 + -1.3459581) / x1)) + (sqrt(x0 + 1.9994308) * 0.50004023))"
17,8.982647e-7,"((sqrt(x0 + 1.9991353) * 0.50005525) - (7.923774e-6 / ((sqrt(x1) * x1) + -1.3175967))) * x1"
18,8.7044805e-7,"x1 * (0.50006235 * (((0.00020460888 / (x0 + -1.3349671)) / (x0 - -0.565223)) + sqrt(x0 + 1.9991457)))"
20,8.643449e-7,"(((-6.6628556e-5 / (0.55434287 - (x0 + -0.7806386))) / (x0 + 0.5722473)) + 0.5000604) * (x1 * sqrt(x0 + 1.9991484))"
22,8.3963477e-7,"(((0.0001301708 / (x0 + -1.3349586)) / (((x0 / x1) - x0) + 1.298691)) + (sqrt(x0 + 1.9992685) * x1)) * 0.50005835"
24,8.395807e-7,"(0.00017429568 / ((x0 + -1.3349687) / (0.37574255 / (((x0 / x1) + 1.2986429) - x0)))) + ((sqrt(x0 + 1.9992313) * 0.50005937) * x1)"
26,8.314184e-7,"(x1 * sqrt(x0 + 1.9993587)) * ((4.4562443e-5 / ((x0 + -1.3349532) / ((0.3268826 / ((x0 / x1) + (1.2987615 - x0))) + 0.54696596))) + 0.5000491)"
28,7.902787e-7,"(sqrt(x0 + 1.9988214) * 0.500072) * (x1 + ((-0.00013239002 / (x0 + -1.3348943)) / ((x1 + (-1.0327548 + x0)) * (x0 - ((x0 / x1) + 1.2986938)))))"
30,7.902651e-7,"sqrt(x0 + 1.9988214) * ((((-0.00013239002 / (x0 + -1.3348943)) / (((x1 + -1.0327548) + x0) * ((x0 - ((x0 / x1) + 1.2986938)) * 1.0065961))) + x1) * 0.500072)"
