Complexity,Loss,Equation
1,0.16011769,"x1"
3,0.15027007,"x1 * 1.0831544"
5,0.08053974,"x1 - (x0 * -0.07052335)"
7,0.0060783913,"x1 * ((x0 + 5.643369) * 0.12346445)"
9,0.006078384,"((x0 * 1.1234679) + (0.6967332 - x0)) * x1"
11,0.0026974338,"(((x0 / (x0 + 12.040095)) * 2.1524024) + 0.6931367) * x1"
13,0.0026964801,"(((2.1552722 / (x0 + 12.03976)) * x0) + 0.6941741) * (x1 + -0.0019341885)"
15,0.002693251,"(x1 * 0.6932327) + (x0 * (((x1 / (x0 + 12.0367565)) * 2.1654377) + -0.0010932831))"
17,0.0026786895,"(x1 * 0.68731874) + ((x0 * (x1 * 2.1624098)) / (((-0.35407862 / x0) + x0) + 12.034413))"
19,0.002621679,"(((x1 * x0) / ((0.15413295 / (x0 - 2.2841387)) + (x0 + 12.038138))) * 2.1566398) + (x1 * 0.6946871)"
21,0.00258203,"(x1 * ((x0 / ((12.042555 + x0) + (1.4733863 / ((x0 - 1.061705) * 12.032134)))) * 2.1555169)) + (x1 * 0.693607)"
23,0.0025523368,"(x0 * ((x1 / (((0.9651698 / ((x0 - (x1 * x1)) * 12.244702)) + x0) + 12.306032)) * 2.1748602)) + (x1 * 0.6940133)"
25,0.0024692216,"(2.1569548 * ((x0 * x1) / (((2.6480665 - x1) / ((x0 - (x1 * x1)) * 11.9938345)) + (x0 + 12.034401)))) + (x1 * 0.6911534)"
