Complexity,Loss,Equation
1,0.18065524,"x1"
3,0.16518717,"x1 / 0.9055656"
5,0.084423795,"(x0 * 0.07479767) + x1"
7,0.006548868,"x1 * ((x0 - -5.6591296) * 0.12330773)"
8,0.0027207804,"x1 * sqrt((x0 * 0.25215438) + 0.5025793)"
10,0.0027161136,"x1 * (sqrt((x0 * 0.24471872) + 0.4675434) + 0.0273033)"
11,0.0027132486,"(x1 * (sqrt(sqrt(x0 + 3.3246698)) + -0.9576522)) * 1.79517"
12,0.0026974606,"(0.0011030158 / x0) + (sqrt((x0 * 0.25182265) + 0.5038421) * x1)"
14,0.002580634,"x1 * sqrt((((0.02238619 / (x0 + -1.3357902)) + x0) * 0.25140017) + 0.5051347)"
16,0.0024859086,"sqrt(((x0 + (-0.01603338 / ((x0 / x1) - x1))) * 0.25252324) + 0.49931103) * x1"
18,0.0024804112,"sqrt(0.4994191 + ((x0 + (-0.019213205 / ((x0 / x1) - (x1 * 1.0055623)))) * 0.25279716)) * x1"
20,0.0023666678,"x1 * (((-0.0011959163 / ((x0 / x1) - x1)) / (x1 + -0.7304777)) + sqrt((x0 * 0.25240454) + 0.49951878))"
22,0.0023620361,"x1 * sqrt(((x0 + ((-0.008516035 / ((x0 / x1) - x1)) / ((x1 + -0.7304455) / x1))) * 0.2526371) + 0.49805307)"
23,0.0023578634,"sqrt(((x0 + (-0.009223044 / (((x1 + -0.73147714) * ((x0 / x1) - x1)) / sqrt(x1)))) * 0.2526887) + 0.4981928) * x1"
24,0.00234515,"sqrt(((x0 + (-0.009762749 / ((((x0 / x1) - (x1 / 0.99241674)) * (x1 + -0.7295363)) / x1))) * 0.25301945) + 0.49849093) * x1"
26,0.0023263355,"x1 * sqrt(((x0 * 0.2521964) + 0.4995886) + ((-0.0022072084 / ((x0 / x1) - x1)) / (x1 + ((0.0035663345 / (-0.49051538 - x0)) + -0.72858524))))"
28,0.0023068555,"sqrt(((x0 * 0.25267792) + ((-0.0022090639 / ((x0 / x1) - x1)) / ((-0.0036743649 / (x0 - -0.49046415)) + ((x1 + -0.72861814) / x1)))) + 0.4995893) * x1"
30,0.002296178,"sqrt(((-0.0024277903 / ((x0 / x1) - (x1 - -0.0036881794))) / (((x1 + -0.72862846) / x1) + (-0.0036844 / (x0 - -0.49035227)))) + ((x0 * 0.25266588) + 0.49958608)) * x1"
