Complexity,Loss,Equation
1,0.16032794,"x1"
3,0.14230259,"x1 * 1.1122451"
5,0.075450964,"x1 - (x0 * -0.07110232)"
7,0.0052820807,"x1 * (0.70739025 - (x0 * -0.12135318))"
8,0.0024857235,"sqrt((x0 * 0.2500583) + 0.50051206) * x1"
10,0.002482646,"(sqrt((x0 * 0.24932401) + 0.4967869) * x1) + 0.0037509047"
12,0.0024780913,"sqrt((((-0.0047687166 / x0) + x0) * 0.25037545) + 0.49951068) * x1"
14,0.0022992294,"((0.00063592824 / (x0 + -2.659965)) + x1) * sqrt((x0 * 0.249702) + 0.50176215)"
16,0.0022967858,"sqrt((x0 * 0.24970867) + 0.5017563) * (x1 + (0.0017162799 / (x0 * (x0 + -2.6602402))))"
17,0.0022936685,"((0.00060840783 / (sqrt(x1) * (x0 + -2.6597033))) + x1) * sqrt((x0 * 0.24970867) + 0.5017563)"
18,0.0021491798,"x1 * ((0.0034734132 / (x1 - ((x0 + 1.3356586) * 0.42192513))) + sqrt((x0 * 0.2525061) + 0.49674317))"
22,0.0021110636,"x1 * sqrt(((0.25268865 * x0) + 0.4941406) + (-0.012272185 / (((-0.34598 * (x0 * (-0.67753166 + x1))) - x1) + x0)))"
26,0.002097998,"sqrt((x0 * 0.25261328) + (0.4934272 + (0.013810425 / (x1 - (x0 + (((x1 - (x0 * 0.1110214)) + -0.65096366) * (x0 * -0.47644553))))))) * x1"
28,0.0020979492,"sqrt(((x0 * 0.2526614) + 0.49326342) + (0.013409746 / (x1 - (((((-0.65326476 - (0.013409746 + (x0 * 0.1013368))) + x1) * x0) * -0.4703181) + x0)))) * x1"
30,0.002054851,"(x1 + (-0.009431465 / ((((x1 + (x0 * -0.5457929)) * ((x0 + -0.55899024) * -0.39862177)) * (x0 * x0)) + (x0 - x1)))) * sqrt((x0 * 0.25156906) + 0.4978856)"
