Complexity,Loss,Equation
1,0.16011769,"x1"
3,0.15027007,"x1 * 1.0831544"
5,0.08053975,"(x0 * 0.070523195) + x1"
7,0.0060783904,"(x1 * (x0 - -5.6430535)) * 0.12346888"
8,0.002671783,"x1 * (sqrt(x0 + 1.9968275) * 0.49906993)"
10,0.0026678985,"sqrt(x0 + 1.9971842) * ((x1 * 0.5005144) + -0.001962662)"
11,0.002661462,"(-1.7564877 - (sqrt(sqrt(x0 + 3.4118903)) * -1.8075188)) * x1"
12,0.0026607302,"x1 * (((x1 * 0.0031048963) + 0.4942694) * sqrt(x0 + 1.9984715))"
13,0.0026589339,"(-1.7587477 - (sqrt(sqrt(x0 + 3.4095643)) * -1.8107662)) * (x1 + -0.0031391366)"
14,0.0025083967,"x1 * (sqrt(((-0.02570214 / (1.3349098 - x0)) + 2.0135834) + x0) * 0.49808174)"
16,0.0024569328,"sqrt((0.022182258 / ((x1 * x1) - x0)) + (x0 + 2.0084658)) * (0.49793747 * x1)"
18,0.0023642923,"sqrt((x0 + 2.0020733) + (-0.021512609 / (((x1 * x1) - 0.07904132) - x0))) * (0.49823323 * x1)"
20,0.002345162,"(x1 * 0.49821612) * sqrt(2.0025449 + (x0 + ((-0.033303898 / x1) / (((x1 * x1) - 0.08436904) - x0))))"
22,0.0023389764,"sqrt((x1 * 0.24820855) * ((-0.03327443 / (((x1 - 0.113523155) * (x1 / 0.96178246)) - x0)) + ((x0 + 2.0027704) * x1)))"
24,0.002252703,"x1 * (sqrt(((-0.03895934 / (x1 - (-0.33115318 / x0))) / (((x1 * x1) - 0.08367148) - x0)) + (x0 + 2.011876)) * 0.4978205)"
26,0.0022526842,"(sqrt(x0 + (((-0.038916357 / (x1 - (-0.3315823 / x0))) / (((x1 * x1) - 0.0834957) - x0)) + 2.011921)) / 1.0212876) * (x1 * 0.5084319)"
28,0.002230414,"(x1 * sqrt(x0 + (2.0136514 + (-0.040978123 / ((x1 - (-0.32664263 / x0)) * (((x1 * x1) - 0.08501748) - x0)))))) * (0.49086282 + (x1 * 0.0045166533))"
