Complexity,Loss,Equation
1,0.17093115,"x1"
3,0.15944996,"x1 * 1.0867636"
5,0.07540251,"x1 + (x0 * 0.07605907)"
7,0.0034236305,"x1 * ((x0 * 0.11833423) + 0.7149849)"
9,9.510468e-5,"x1 * (3.0752485 - (32.848816 / (x0 + 13.812121)))"
11,9.2092705e-5,"(0.6968512 - (-0.5957923 / ((3.424327 / x0) + 0.25699362))) * x1"
13,3.682154e-6,"x1 * ((x0 * (0.06438725 - (-0.5975411 / (x0 + 5.1824775)))) + 0.70624447)"
15,3.6805636e-6,"((((0.064386845 - (-0.59754103 / (x0 + 5.1824775))) * x0) + 0.7063153) * x1) - 9.464695e-5"
17,1.3562113e-6,"x1 * (((((x0 * -0.0018346794) + 0.098887645) - (-0.29120058 / (x0 + 3.7111359))) * x0) + 0.70744395)"
19,1.0640947e-6,"(((0.051142093 - ((-0.8748543 / (x0 + 8.584736)) + (-0.056601357 / (x0 + 2.4092648)))) * x0) + 0.7069022) * x1"
21,1.0619164e-6,"(x1 * (((0.05114247 - ((-0.87484956 / (x0 + 8.584735)) + (-0.05659657 / (x0 + 2.4092636)))) * x0) + 0.706986)) + -0.000111579895"
23,1.0618862e-6,"((x1 * ((x0 * (0.0510971 - ((-0.87568766 / (x0 + 8.584671)) + (-0.05654492 / (x0 + 2.4112456))))) + 0.706961)) + 0.6160589) - 0.61617154"
25,1.0599201e-6,"((((0.051040087 - (-0.055609554 / (x0 + 2.3971827))) * x0) + (0.7069214 - ((x0 * -0.8779588) / (x0 + 8.584383)))) * x1) - (5.3599615e-5 / x1)"
27,1.0356837e-6,"((0.7068804 - (-0.8779573 * (x0 / (x0 + 8.584385)))) + (x0 * (0.05103575 - (-0.055627614 / (2.3971841 + x0))))) * (x1 - (1.6070044e-5 / (x0 - 2.488839)))"
29,1.02494e-6,"(x1 * ((((0.05103793 - (-0.055673096 / (x0 + 2.3972075))) * x0) + 0.7068852) - ((x0 * -0.8778738) / (x0 + 8.584417)))) + (2.9647785e-5 / ((-1.2049288 / x0) + x0))"
