Complexity,Loss,Equation
1,0.16936496,"x1"
3,0.15461248,"x1 * 1.0960854"
5,0.07126364,"x1 + (x0 * 0.0760665)"
7,0.0032373595,"(x0 + 6.158829) * (x1 * 0.11720467)"
9,9.283836e-5,"((-32.406868 / (x0 + 13.71981)) + 3.0600083) * x1"
11,9.134924e-5,"x1 * ((x0 * (2.3203397 / (x0 + 13.373927))) + 0.6976693)"
13,3.986005e-6,"x1 * ((((-51.06739 / (x0 + 5.2885413)) + x0) * 0.0635466) + 1.3194454)"
15,3.973712e-6,"(x1 * ((((-51.066986 / (x0 + 5.2894917)) + x0) * 0.06355473) + 1.3196071)) + -0.00027282917"
17,1.3135312e-6,"x1 * ((((-10.979084 / (x0 + 3.7759345)) + x0) * ((x0 * -0.0017492563) + 0.09741172)) + 0.99059397)"
19,1.2928416e-6,"((((x0 * -0.0017435744) + 0.097380824) * (x0 + (-10.97908 / (x0 + 3.772886)))) + 0.9909266) * (x1 + -0.0003216396)"
21,1.2813878e-6,"(x1 * ((((x0 * x0) * -0.0018289008) + 0.9996514) + (((-10.9800205 / (x0 + 3.715549)) + x0) * 0.09878142))) - 0.00043581097"
23,1.2812396e-6,"(x1 * ((((x0 + (-10.979359 / (x0 + 3.7164767))) * 0.09889149) + ((x0 * (x0 + 0.08049901)) * -0.0018264062)) + 0.9998878)) - 0.00043626313"
25,1.2354262e-6,"x1 * (((x0 * (x0 * -0.0019720597)) + (0.029510232 / (10.622139 - x0))) + (((x0 + (-10.977455 / (x0 + 3.7321885))) * 0.09910834) + 0.9960178))"
27,1.2162799e-6,"(x1 * (((x0 * -0.0019461778) * x0) + (((0.029439019 / (10.975976 - x0)) + 0.9965042) + ((x0 + (-10.981098 / (x0 + 3.7286162))) * 0.09900261)))) + -0.00040419312"
29,1.2070085e-6,"(x1 * ((((-10.978089 / (x0 + 3.7347157)) + x0) * 0.09916647) + (((x0 * -0.0019697438) * x0) + (0.9966453 + (0.026492361 / (10.977958 - (x0 / 0.9512451))))))) + -0.00040431067"
