Complexity,Loss,Equation
1,0.17093115,"x1"
3,0.15944996,"x1 * 1.0867636"
5,0.07540252,"(x0 * 0.07606648) + x1"
7,0.0034236305,"x1 * (0.7149849 + (x0 * 0.11833423))"
8,1.0806452e-6,"x1 * sqrt(0.4999891 + (x0 * 0.25001964))"
10,1.0770216e-6,"(x1 * sqrt((x0 * 0.25004718) + 0.50013876)) + -0.00014505198"
12,1.072788e-6,"sqrt((-0.000346095 / x1) + ((x0 * 0.25002113) + 0.50024676)) * x1"
14,1.0355777e-6,"(4.498428e-6 / (x1 + -1.8547568)) + (x1 * sqrt((x0 * 0.25002605) + 0.4999906))"
17,1.0074709e-6,"(x1 + (3.060939e-5 / ((1.7341436 / x0) - sqrt(x1)))) * sqrt((x0 * 0.25004056) + 0.50000113)"
19,1.0063887e-6,"((-1.7393217e-5 / (sqrt(x1) - (1.7386141 / x0))) / x1) + (x1 * sqrt((x0 * 0.2500294) + 0.49999514))"
20,1.0050935e-6,"(sqrt((x0 * 0.2500323) + 0.49999505) * x1) + ((2.4803097e-5 / ((1.7386141 / x0) - sqrt(x1))) / sqrt(x1))"
21,9.906582e-7,"(((1.9903422e-5 / ((1.7386141 / x0) - sqrt(x1))) / (x1 + -0.19796328)) + sqrt((x0 * 0.25003386) + 0.4999951)) * x1"
23,9.739535e-7,"(x1 + (3.060939e-5 / ((1.7358092 / x0) - sqrt(x1)))) * sqrt(0.50000113 + ((x0 + (0.00014075793 / (0.6666477 - x1))) * 0.25004056))"
25,9.71458e-7,"(sqrt((3.060939e-5 / (0.6664152 - x1)) + ((x0 * 0.25003368) + 0.4999951)) * x1) + ((1.7093602e-5 / ((1.7386141 / x0) - sqrt(x1))) / x1)"
26,9.710384e-7,"((2.362141e-5 / ((1.7386141 / x0) - sqrt(x1))) / sqrt(x1)) + (sqrt(((x0 + (0.000116251074 / (0.6664152 - x1))) * 0.25003368) + 0.4999949) * x1)"
27,9.69304e-7,"sqrt((x0 * 0.25003198) + 0.49999657) * (((0.00012372986 / (((x1 * (x1 * 1.3132468)) + x0) + 0.5000318)) / ((1.7387171 / x0) - sqrt(x1))) + x1)"
29,9.615371e-7,"((0.00012563728 / ((((x1 * (x1 * x1)) / 0.56378573) + x0) + 0.5563197)) / ((1.7387171 / x0) - sqrt(x1))) + (sqrt((x0 * 0.25003085) + 0.49999154) * x1)"
