Complexity,Loss,Equation
1,0.18200502,"x1"
3,0.16599683,"x1 / 0.9086583"
5,0.07758586,"(x0 * 0.07663928) + x1"
7,0.0060066604,"((x0 + 6.1762695) * x1) * 0.116710454"
8,0.002533228,"(x1 * sqrt(x0 + 2.0074043)) * 0.49983042"
10,0.0025105982,"(x1 * (sqrt(x0 + 2.0372212) * 0.5018511)) + -0.011418255"
12,0.0024743811,"sqrt(((((x0 * 0.2496176) - -0.52549565) * x1) - 0.03216631) * x1)"
14,0.00244971,"sqrt(x1 * ((x1 * ((x0 * 0.24565828) - -0.52467215)) - 0.057533976)) + 0.020413572"
16,0.0024496738,"sqrt((((((x0 * 0.34198254) - -0.73095685) * 0.7180249) * x1) - 0.058324683) * x1) + 0.020910056"
18,0.0024276108,"sqrt((x1 * ((x1 * ((x0 * 0.34704712) - -0.69752383)) * 0.71971184)) + (0.0009215038 / (x0 + -2.476894)))"
19,0.0022701882,"sqrt(((x0 * 0.25045168) - -0.5005489) * ((x1 * x1) + (0.005033651 / (1.7343094 - (sqrt(x1) * x0)))))"
21,0.0022168919,"sqrt((((x1 * x1) + (0.004814128 / (1.7338593 - (sqrt(x1) * x0)))) * ((x0 * 0.2502039) + 0.50665176)) - 0.008497954)"
23,0.002216224,"sqrt((((x0 * 0.2502039) + 0.50665176) * ((x1 * x1) + (0.004814128 / ((1.7338593 - (x0 * sqrt(x1))) * 0.94846356)))) - 0.008497954)"
25,0.0021922255,"sqrt((x1 - -0.041527893) * ((((0.003459449 / ((1.7824932 / x0) - (sqrt(x1) * 1.0291314))) + x1) * ((x0 * 0.24334238) - -0.5238421)) - 0.04898257))"
27,0.0021806676,"sqrt(((x1 * (((x1 + 0.041072782) * ((x0 * 0.33869126) - -0.73211646)) - 0.07507097)) + (0.0035248902 / ((1.7823967 / x0) - (sqrt(x1) * 1.0276312)))) * 0.71926206)"
29,0.0021781668,"sqrt((((((x1 * ((x0 * 0.33869126) - -0.73211646)) - 0.07507097) * (x1 + 0.041072782)) + (0.0035248902 / ((1.7823967 / x0) - (sqrt(x1) * 1.0276312)))) * 0.71744347) + 0.0018185985)"
