Complexity,Loss,Equation
1,0.18469787,"x1"
3,0.1691879,"x1 * 1.098199"
5,0.08156731,"x1 + (x0 * 0.07690967)"
7,0.0059705437,"x1 * ((x0 * 0.11787601) + 0.7160644)"
8,0.0024518382,"x1 * sqrt((x0 * 0.25038102) + 0.49799588)"
10,0.0023979752,"(x1 * sqrt((x0 * 0.25347382) + 0.5156549)) - 0.017574498"
12,0.0023892182,"(-0.0060422574 / x1) + (sqrt((x0 * 0.25160596) + 0.5012579) * x1)"
14,0.0023830908,"sqrt((((x0 * 0.25142962) + 0.50356793) * ((x1 * x1) - 0.0060430043)) + -0.0050646653)"
16,0.002382492,"sqrt((((x1 * x1) + -0.0055724997) * (((x0 + x0) * 0.12555654) + 0.50415546)) + -0.005701985)"
17,0.0023081228,"(x1 * sqrt((x0 * 0.2516517) + 0.5008084)) + (0.03448815 / (x0 + (sqrt(x1) * -11.9338665)))"
19,0.0022892554,"sqrt((x1 * (((x0 * 0.2507408) + 0.50140613) * x1)) + (0.05101377 / ((x0 / sqrt(x1)) + -12.108119)))"
21,0.002281793,"sqrt((0.045124687 / ((x0 / sqrt(x1)) + -12.066742)) + (x1 * ((((x0 * 0.2506316) + 0.50961345) * x1) - 0.011908588)))"
23,0.002280415,"sqrt((0.04558546 / (sqrt((x0 * x0) / x1) + -12.066536)) + ((x1 * (((x0 * 0.25069332) + 0.5025149) * x1)) - 0.002569823))"
25,0.0022024962,"sqrt((0.03356128 / ((sqrt(x1) * -11.522458) - ((1.7004793 / (x0 - 1.2080244)) - x0))) + ((x1 * x1) * (0.5008071 + (0.25079888 * x0))))"
29,0.0022019618,"sqrt(((0.033826143 / ((sqrt(x1) * -11.522458) - ((1.7004793 / (x0 - 1.2080244)) - x0))) + -0.00026486025) + ((x1 * (((x0 + x0) * 0.12536605) + 0.5006051)) * x1))"
