Complexity,Loss,Equation
1,0.1667641,"x1"
3,0.14383504,"x1 / 0.88150305"
5,0.06933577,"x1 + (x0 * 0.07134227)"
7,0.00329632,"(x0 + 6.2053013) * (x1 * 0.11567005)"
9,9.894221e-5,"((-30.638542 / (x0 + 13.206944)) + 3.0141292) * x1"
11,9.879389e-5,"(x1 * ((-30.638577 / (x0 + 13.206006)) + 3.013566)) + 0.0008552397"
13,4.479409e-6,"((x0 * ((0.57290184 / (x0 + 4.9883485)) + 0.06553385)) + 0.7064768) * x1"
15,4.4731964e-6,"((((0.17966416 / ((x0 * 0.31126076) + 1.5610617)) + 0.06529551) * x0) + 0.70636046) * x1"
17,1.1273132e-6,"x1 * (0.70772755 + (x0 * (((0.27800962 / (x0 + 3.6070774)) + 0.10017821) - (x0 * 0.0018845937))))"
19,1.0964834e-6,"(x1 * ((x0 * (((0.27806187 / (x0 + 3.6070755)) + 0.100155085) + (x0 * -0.001883053))) + 0.70806855)) + -0.00039201585"
23,1.0964673e-6,"(((x0 * ((0.09684489 - ((x0 + -1.7765486) * 0.0018848715)) + (0.11794043 / ((x0 * 0.42469126) + 1.530804)))) + 0.7080796) * x1) - 0.0003936308"
25,1.0300043e-6,"(((0.21334842 / (((0.17439784 / (((0.17587982 / ((0.085938394 * x0) + 1.1918346)) * x0) + 1.1149365)) * x0) + 1.207086)) * x0) + 0.7076187) * x1"
27,9.958309e-7,"((((x0 / (((x0 / ((x0 * (0.17588282 / ((x0 * 0.08594285) + 1.1913741))) + 1.1153121)) * 0.1744455) + 1.207092)) * 0.21331628) + 0.70805836) * x1) + -0.0004580304"
