Complexity,Loss,Equation
1,0.18462357,"x1"
3,0.16647463,"x1 / 0.8997668"
5,0.07668218,"x1 + (x0 * 0.076916344)"
7,0.003663264,"((x0 * 0.1175792) + 0.7120734) * x1"
8,8.8494795e-7,"sqrt((x0 * 0.2500066) + 0.49993253) * x1"
10,8.831061e-7,"(x1 + -8.543614e-5) * sqrt((x0 * 0.25003755) + 0.49999142)"
12,8.771549e-7,"x1 * sqrt((((0.00013310589 * x1) + 0.24980497) * x0) + 0.49991378)"
14,7.8821324e-7,"sqrt((x0 * 0.24999414) + 0.49992126) * (x1 + (-8.037728e-6 / (0.95695984 - x1)))"
16,7.8715595e-7,"((x1 + (-8.281914e-6 / (0.9569434 - x1))) + -5.7919533e-5) * sqrt((x0 * 0.25002173) + 0.49992594)"
18,7.457463e-7,"sqrt((x0 * 0.24999414) + 0.49991378) * (x1 + ((-1.9141335e-6 / (0.9570397 - x1)) / (x1 - 0.72988814)))"
20,7.44037e-7,"((x1 + ((-1.9137499e-6 / (0.9570397 - x1)) / (x1 - 0.729888))) + -5.7919533e-5) * sqrt((x0 * 0.25002173) + 0.49992594)"
22,7.305556e-7,"sqrt((((x1 * 0.00014589273) + 0.24977502) * x0) + 0.4999117) * (x1 + ((-1.8052403e-6 / (0.9570066 - x1)) / (x1 - 0.72991717)))"
24,7.2802374e-7,"sqrt((((x1 * 0.00014589273) + 0.24977502) * x0) + 0.4999117) * (x1 + ((-1.7288213e-6 / ((0.9571525 - x1) * x1)) / (x1 - 0.72991717)))"
30,7.233317e-7,"(((-7.5022735e-6 / (0.95695996 - x1)) * (((x0 / ((x0 + (x0 - x1)) + -2.421342)) + (1.1555476 / x0)) / x1)) + x1) * sqrt((x0 * 0.2499979) + 0.49992874)"
