Complexity,Loss,Equation
1,0.16006261,"x1"
3,0.14985062,"x1 / 0.921034"
5,0.07741035,"(x0 * 0.06972874) + x1"
7,0.003222132,"((x0 * 0.11705357) - -0.7174489) * x1"
8,9.691165e-7,"x1 * sqrt((x0 * 0.25000495) - -0.49994904)"
10,9.442895e-7,"sqrt((x0 * 0.25012723) - -0.5001822) * (x1 - 0.00032913766)"
12,9.439004e-7,"sqrt((x0 * 0.6824419) + 1.3647597) * ((x1 + -0.0002980413) * 0.6053893)"
16,9.4388065e-7,"sqrt(((x0 * 0.6824419) + (x0 + 1.3647597)) - x0) * ((x1 + -0.0002980413) * 0.6053893)"
17,9.322993e-7,"(x1 * sqrt(sqrt(((x0 * 0.2492895) - -0.5150675) * ((x0 * 0.25071508) - -0.4862633)))) + -0.00036341744"
20,9.1828343e-7,"x1 * sqrt(sqrt(0.6797546 / sqrt((0.00012607787 / (x0 + -0.33932605)) - -0.21030521)) * ((x0 * 0.20537212) - -0.4105765))"
22,8.7060596e-7,"x1 * sqrt(((x0 * 0.20536219) - -0.4105765) * sqrt(0.6797546 / sqrt((0.00021342261 / (x0 + (x1 * -0.31885502))) - -0.21021628)))"
24,8.593203e-7,"sqrt(((x0 * 0.20537212) - -0.4105765) * sqrt(0.6797546 / sqrt((0.00019522244 / (x1 * (x0 + (x1 * -0.30656353)))) - -0.21030548))) * x1"
25,8.466695e-7,"x1 * sqrt(((x0 * 0.16768937) - -0.33525127) * sqrt(0.64909375 / ((((0.00044148669 / x1) * x0) / (x0 + (-0.3181546 * x1))) - -0.2915746)))"
27,8.4476164e-7,"x1 * sqrt(((x0 * 0.16768937) - -0.33525127) * sqrt(0.64909375 / ((((0.00044148669 / x1) * (x0 + 0.027060425)) / ((x1 * -0.3181546) + x0)) - -0.2915746)))"
29,8.4292014e-7,"x1 * sqrt(((x0 * 0.16768937) - -0.33525127) * sqrt(0.64909375 / ((((0.00044148669 / x1) * (x0 + (0.027060425 / x1))) / ((x1 * -0.310798) + x0)) - -0.2915746)))"
