Complexity,Loss,Equation
1,0.16619542,"x1"
3,0.1444783,"x1 * 1.1308806"
5,0.072007835,"(x0 * 0.07014484) + x1"
7,0.0058741276,"(x1 * 0.11487133) * (x0 + 6.242178)"
9,0.002543464,"((-28.640867 / (x0 + 12.736276)) + 2.9419978) * x1"
11,0.002491736,"(x1 * ((-28.6027 / (x0 + 12.745212)) + 2.9512327)) + -0.016041875"
13,0.002383198,"(((x0 * 0.07335481) + 1.1287814) - (-1.6168395 / (-3.8760376 - x0))) * x1"
15,0.0023210684,"((((x0 * 0.074458905) + 1.123058) - (-1.4763443 / (-3.735257 - x0))) * x1) + -0.017638804"
17,0.002286849,"(((x0 * 0.07221923) + (1.1238508 - (-1.4360739 / (-3.7549129 - x0)))) * (x1 - -0.040748447)) + -0.064011954"
19,0.002254567,"((x1 - -0.15551868) * (((x0 * 0.06693112) + 1.1572016) - (-1.3489586 / ((x1 - x0) + -5.174)))) + -0.23853135"
21,0.0022131093,"(((x0 * 0.0689812) + (1.1425405 - (-1.3666375 / ((x1 * 0.56412727) + (-4.5088162 - x0))))) * (x1 - -0.10581609)) + -0.16241917"
25,0.0021332584,"(1.288654 - (-1.9324839 / ((x0 * -0.8293914) + -3.339474))) * (((-0.0049663745 / (x0 - (x1 / 3.2798417))) + x1) + ((x1 * 0.055264793) * x0))"
27,0.002079945,"((((0.0047397725 / ((x1 * 0.32630092) - x0)) + 1.2983577) - (-1.9181523 / ((x0 * -0.84515744) + -3.3502402))) * (((x1 * 0.054320652) * x0) + x1)) + -0.01650273"
29,0.0020270539,"(((x0 * ((x1 * 0.049292564) - -0.0073199025)) + x1) + -0.047705956) * (((-0.0049734134 / (x0 - (x1 * 0.32499918))) + 1.3096602) - (-1.9028969 / ((x0 * -0.87409616) + -3.354342)))"
