Complexity,Loss,Equation
1,0.18716507,"x1"
3,0.16944431,"x1 / 0.9008429"
5,0.08008911,"x1 + (x0 / 13.054488)"
7,0.005908715,"x1 * ((x0 * 0.11784082) - -0.7098621)"
9,0.0023549772,"((-30.268023 / (x0 + 13.114297)) + 3.000767) * x1"
11,0.002349503,"(x1 + -0.0048299492) * ((-30.27845 / (x0 + 13.092039)) + 3.0081062)"
13,0.0022416352,"((x0 * ((0.4620209 / (x0 + 4.2795897)) + 0.072361425)) + 0.7075953) * x1"
15,0.0022377507,"(x1 * ((((0.4603477 / (x0 + 4.269974)) + 0.07243327) * x0) + 0.71118546)) - 0.004569593"
17,0.0022174139,"((x0 * ((0.45732006 / ((x1 * -0.45418125) + (x0 + 4.8869066))) + 0.07245469)) + 0.707315) * x1"
19,0.0021904465,"x1 * ((((0.41953397 / ((x0 + 4.237957) + (0.13666087 / (x1 - 2.0777624)))) + 0.074496076) * x0) + 0.7082171)"
21,0.0020051452,"x1 * (((x0 * 0.06587758) + (7.627447 / ((((0.27897385 / (0.95517075 - x1)) + 66.79658) / x0) + 13.694972))) + 0.7049587)"
23,0.001998406,"(((7.627447 / (((66.79658 / x0) + 13.694972) + ((0.3153045 / x0) / (0.9550992 - x1)))) + 0.70495945) + (x0 * 0.06588171)) * x1"
25,0.0019688061,"(((x0 * 0.06542546) + (7.627277 / ((66.96597 / x0) + (13.689872 + (0.08249611 / ((x1 + -1.9831246) * (x1 - 0.95041347))))))) + 0.7049582) * x1"
27,0.0019489471,"x1 * (((x0 * 0.06612583) + (7.626622 / (((66.966 / x0) + ((x1 / ((x0 + x0) + -0.48223248)) / (0.9515017 - x1))) + 13.6898155))) + 0.7042995)"
29,0.0019335491,"x1 * ((x0 * 0.06612583) + ((7.626622 / ((66.966 / x0) + (((x1 / (x0 + (x0 + (-0.12585314 / x0)))) / (0.9515017 - x1)) + 13.6898155))) + 0.7042995))"
