Complexity,Loss,Equation
1,0.1588739,"x1"
3,0.1477009,"x1 * 1.0905067"
5,0.07315659,"x1 - (x0 * -0.06775438)"
7,0.0046883863,"((x0 + 6.248928) * x1) * 0.11502349"
9,0.0023205862,"(3.1584427 + (36.24927 / (-14.738283 - x0))) * x1"
11,0.0022685565,"(x1 * ((37.30705 / (-14.993807 - x0)) - -3.199806)) + -0.016112939"
13,0.0022594943,"(((37.01374 / (-15.059098 - x0)) - -3.1754968) * (x1 - -0.019442933)) + -0.037404846"
15,0.0021361792,"x1 * ((37.059692 / (-14.901586 - x0)) - ((-0.00065612886 / (x1 - 0.95657873)) + -3.1807516))"
17,0.0020297675,"((37.06256 / ((-0.03324967 / ((x1 * 0.31650642) - x0)) + (-14.883332 - x0))) - -3.1872513) * x1"
19,0.0019784144,"(((37.06291 / ((-0.032821927 / ((x1 * 0.3136781) - x0)) + (-14.884332 - x0))) - -3.1994512) * x1) - 0.016228106"
21,0.0019594498,"x1 * ((37.061024 / (-14.89858 - x0)) - (((-0.005681924 / ((x1 * 0.31727502) - x0)) + (x1 * -0.019670611)) + -3.1570513))"
23,0.0019199926,"(((37.059692 / (-14.901586 - x0)) - ((-0.005418172 / (0.4078491 - x0)) + ((-0.0006579257 / (x1 - 0.9565975)) + -3.1956286))) * x1) - 0.01646085"
25,0.0017797198,"(x1 * ((37.059692 / (-14.901586 - x0)) - ((-0.005418172 / ((x1 * 0.31744385) - x0)) + ((-0.0006579257 / (x1 - 0.956109)) + -3.1956286)))) - 0.015499687"
27,0.001738485,"(((37.059692 / (-14.90159 - x0)) - ((-0.00043018002 / (x1 + (x1 - 1.9190423))) + ((-0.005414546 / ((x1 * 0.31744197) - x0)) + -3.1960356))) * x1) - 0.01624153"
