Complexity,Loss,Equation
1,0.16255741,"x1"
3,0.15256384,"x1 / 0.921843"
5,0.08189036,"x1 + (x0 * 0.06889434)"
7,0.0056671724,"((x0 + 6.1126003) * x1) * 0.117165044"
9,0.0025974598,"x1 * ((-29.651398 / (x0 + 12.988289)) - -2.9783878)"
11,0.0025288311,"(x1 - 0.0155950105) * ((-29.67009 / (x0 + 12.909834)) - -3.0021698)"
13,0.0024355664,"x1 * ((-1.364455 / (x0 + 3.672445)) + ((x0 * 0.07819076) + 1.0828706))"
15,0.0023746218,"(((x0 * 0.077983275) + ((-1.373466 / (x0 + 3.6842952)) - -1.0973299)) * x1) + -0.017039852"
17,0.0023426723,"x1 * ((((x0 * -0.0044004726) + 0.13849103) * x0) + ((-0.07654219 / (x0 + 1.7770513)) + 0.75444955))"
19,0.002270816,"((((((x0 * -0.0044153603) + 0.13854858) * x0) + 0.7680997) + (-0.0747459 / (x0 + 1.7692412))) * x1) - 0.018525064"
21,0.0022707335,"((((x0 / (x0 + 1.7555977)) * ((x0 * ((x0 * -0.004461981) + 0.13124359)) + 0.28466383)) + 0.72575533) * x1) - 0.01853449"
23,0.0022558477,"(((x0 * 0.14173968) + (((((x1 * 9.387006) / (x0 + 1.7476336)) + (x0 * x0)) * -0.0047427504) - -0.770425)) * x1) + -0.031618327"
25,0.0022337562,"((x1 + 0.03661521) * (((x1 / (x0 + 1.8243759)) * -0.059430804) + (((x0 * (x0 * -0.004208188)) + (x0 * 0.13378094)) - -0.7958404))) + -0.07706687"
27,0.002223774,"(((((x0 * x0) + (((17.76076 / (x0 + 1.8834666)) + -3.8483076) * x1)) * -0.0040111765) + ((x0 * 0.13066551) + 0.775097)) * (x1 + 0.04461359)) + -0.07428886"
29,0.002223249,"((x1 + 0.045972034) * ((((((x0 * x0) + (((17.761152 / (x0 + 1.8732843)) + -3.8481402) * (x1 + -0.07925874))) * -0.03106053) + x0) * 0.13125178) + 0.7744559)) + -0.07617922"
