Complexity,Loss,Equation
1,0.16619542,"x1"
3,0.1444783,"x1 * 1.1308806"
5,0.072007835,"(x0 * 0.07014485) + x1"
7,0.005874128,"(x0 + 6.2421474) * (x1 * 0.11487142)"
8,0.0023823297,"(x1 * 0.49818876) * sqrt(x0 + 2.0016148)"
10,0.0023335963,"(sqrt(x0 + 2.0505333) * (x1 * 0.5008443)) + -0.015364235"
12,0.002304339,"(x1 * ((sqrt(x0 + 1.8288783) * 0.48264745) + 0.070635416)) + -0.0175627"
14,0.0021644812,"sqrt(x0 + 1.976018) * ((-0.00025896155 / (0.9551038 - x1)) + (x1 * 0.4988615))"
16,0.002139432,"((sqrt(x0 + 1.8629504) * 0.48232207) + 0.053925697) * ((0.00048131793 / (x1 - 0.9558865)) + x1)"
18,0.0020774384,"(((-0.0005033478 / (0.95586216 - x1)) + x1) * ((sqrt(x0 + 1.8263273) * 0.48209777) + 0.0713967)) + -0.018011304"
20,0.0020752258,"(((sqrt(x0 + 1.8263273) * 0.48209777) + 0.0713967) * (((-0.0005033478 / (0.95586216 - x1)) * x1) + x1)) + -0.018011304"
22,0.001995216,"((x1 * 0.49816298) + (0.0013278949 / ((x1 + (x1 * ((2.2270892 - x0) * x0))) + -0.682875))) * sqrt(x0 + 2.002199)"
24,0.001982424,"((sqrt(x0 + 1.8224206) * 0.48297688) + 0.05702178) * (x1 + (0.0027548166 / ((((x1 * x0) * (2.228429 - x0)) + -0.6834273) + x1)))"
26,0.0019261487,"((x1 * 0.49816298) + (0.0013278949 / ((((x0 - (-0.004849561 / x0)) * ((2.2259843 - x0) * x1)) + x1) + -0.682875))) * sqrt(x0 + 2.002199)"
28,0.0018918316,"sqrt(x0 + 1.9989299) * ((x1 * 0.49816298) + (0.0011668493 / ((((2.2259843 - x0) * x1) * (x0 - (-0.0030234428 / (x0 * 0.3849212)))) + (-0.682875 + x1))))"
30,0.0018691543,"sqrt(x0 + 1.9989299) * ((x1 * 0.49816298) + (0.0011668493 / (((((2.2259843 - x0) * x1) * (x0 - (-0.0030234428 / ((x0 + -0.036458146) * 0.3849212)))) + -0.682875) + x1)))"
