Complexity,Loss,Equation
1,0.17897508,"x1"
3,0.16165163,"x1 * 1.1112187"
5,0.08158709,"x1 + (x0 * 0.073781565)"
7,0.006501505,"x1 * ((x0 * 0.11559597) + 0.7161911)"
8,0.0022791957,"x1 * (sqrt(x0 + 2.0005715) * 0.49891844)"
10,0.0022247601,"x1 * (sqrt((x0 * 0.22780249) + 0.39783135) + 0.080462046)"
12,0.002184809,"(x1 * (sqrt((x0 * 0.22696868) + 0.39646053) + 0.09264172)) + -0.013786178"
13,0.0021819652,"(sqrt(x1 * 0.0019259515) + sqrt((x0 * 0.23409864) + 0.4319547)) * x1"
14,0.00215017,"x1 * (sqrt((x0 * ((x1 * 0.010780481) + 0.2079964)) + 0.38344324) + 0.09213235)"
16,0.002082753,"(sqrt((x0 * 0.2533867) + 0.50530463) + (0.00016321542 / (x1 + -0.7238848))) * (x1 + -0.0124618225)"
18,0.0020612949,"(x1 * sqrt((x0 * 0.2500337) + 0.50223416)) + (-0.017972555 / (x1 - ((x1 / x0) + -2.364853)))"
24,0.0019994068,"x1 * sqrt((((x0 * (((x1 * (x1 * x1)) - x0) * (-0.0022116853 / (0.16929308 - x0)))) + 0.2515552) * x0) + 0.49922764)"
28,0.0019879132,"x1 * sqrt(((0.24950689 + (((x1 + (-0.7464297 / (x0 - 0.6708342))) * ((-0.9022529 - ((x1 * -2.1381395) * x1)) - x0)) * 0.0017932084)) * x0) + 0.5038946)"
30,0.0019817685,"(x1 * sqrt((x0 * (((x1 + (-0.72347784 / (x0 - 0.6712996))) * (((-0.94711745 - ((x1 * -2.0792196) * x1)) - x0) * 0.0020695734)) + 0.25100598)) + 0.50762606)) - 0.0044694734"
