Complexity,Loss,Equation
1,0.1588739,"x1"
3,0.1477009,"x1 / 0.917005"
5,0.07315659,"x1 + (x0 * 0.06775438)"
7,0.0046883863,"((x0 + 6.248881) * 0.11502442) * x1"
8,0.0023375945,"(x1 * sqrt(x0 - -2.0329082)) * 0.496123"
10,0.0022845184,"(sqrt(x0 - -2.0804029) * (0.4990412 * x1)) + -0.016248815"
12,0.0022719996,"((x1 * (sqrt(x0 - -2.3053136) + -0.12233964)) * 0.5144572) + -0.01609019"
14,0.0022227857,"x1 * (sqrt(x0 + ((-0.034306806 / (x0 + -0.39479786)) - -1.9982032)) * 0.49787137)"
16,0.0020229702,"(x1 * ((0.034508552 / ((x0 * -3.0560503) + x1)) + sqrt(x0 - -2.0148697))) * 0.4976362"
18,0.0019760467,"((x1 * sqrt(x0 - -2.0632849)) - 0.03126614) * ((0.0114681795 / ((x0 * -3.077259) + x1)) + 0.5006933)"
20,0.0019672015,"(0.48691374 - ((-0.011647056 / ((x0 * -3.062303) + x1)) - (x1 * 0.0072532194))) * (x1 * sqrt(x0 - -2.024078))"
21,0.0019671298,"(x1 * ((0.47849166 - (-0.011574376 / (x1 + (x0 * -3.0620108)))) - (sqrt(x1) * -0.015941903))) * sqrt(x0 - -2.023313)"
22,0.0019620312,"(0.49335095 - (-0.011876877 / (x1 + (x0 * -3.066893)))) * (((sqrt(x0 - -1.9712887) - (x1 * -0.027357591)) * x1) - 0.00959669)"
24,0.0019261048,"((sqrt(x0 - -2.146473) * ((0.5061151 - (0.011412532 / (x0 - ((x0 * -2.0894532) + x1)))) * x1)) + -0.057465144) - (-0.012895829 / x1)"
26,0.001767206,"((0.5012875 - (-0.011512815 / (((x0 * -2.0486166) + x1) - x0))) * (x1 - ((-0.0003202609 / (x1 + -0.95769054)) + 0.0130383065))) * sqrt(x0 - -2.0476816)"
30,0.0017671096,"(sqrt(x0 - -2.0480661) * (0.5009335 - (-0.012257559 / (((x0 * -2.0480661) + x1) - x0)))) * ((x1 - 0.012844581) - ((-0.0004017437 / (x1 + -0.95690954)) + (-0.00096060545 / x1)))"
