Complexity,Loss,Equation
1,0.18946727,"x1"
3,0.1717702,"x1 / 0.90177107"
5,0.07624146,"x1 + (x0 / 12.327426)"
7,0.0040907273,"x1 * ((x0 * 0.118606776) - -0.7081362)"
9,0.0001040441,"x1 * ((-29.04475 / (x0 + 12.799024)) + 2.9627664)"
11,0.00010392353,"(x1 * ((-29.044868 / (x0 + 12.798234)) + 2.9622505)) + 0.00083283935"
13,4.4885337e-6,"x1 * (((-2.9886785 / (x0 + 5.091672)) + 1.2929087) - (x0 * -0.06494132))"
15,4.4797694e-6,"(((-2.9890363 / (x0 + 5.092584)) + 1.2927558) - (x0 * -0.064933375)) * (x1 + 0.00021178734)"
17,1.314488e-6,"((-0.9513863 / (x0 + 3.5547793)) + (0.9753732 - (x0 * ((x0 * 0.0019854154) + -0.10174133)))) * x1"
19,1.2709555e-6,"((-2.0682676 / (7.2984114 + (x0 + x0))) - ((((x0 * 0.0018648376) - 0.09966647) * x0) + -0.9909649)) * x1"
21,1.2696632e-6,"(x1 * ((-2.0682583 / ((x0 + 7.298416) + x0)) - ((x0 * ((x0 * 0.0018646906) - 0.09966476)) + -0.9910289))) - 8.334351e-5"
23,1.1123966e-6,"x1 * ((-1.2746525 / (x0 + (x0 + 6.4895735))) - ((((x0 * ((x0 * -0.00010974095) + 0.003943008)) - 0.11629276) * x0) + -0.9037263))"
25,1.1111196e-6,"(x1 * ((-1.274928 / ((x0 + x0) + 6.488646)) - ((x0 * ((x0 * ((x0 * -0.00010920887) + 0.00393526)) - 0.11625429)) + -0.9038758))) - 8.645978e-5"
27,1.0955923e-6,"(((-1.2767007 / ((x0 + x0) + 6.489112)) - ((((x0 * ((x0 * -0.00010760913) + 0.0039080232)) - 0.11604002) * x0) + -0.9043915)) * (x1 + 0.0008891611)) + -0.0010106632"
29,1.0933344e-6,"((x1 + (x0 * 8.0437654e-5)) * ((-1.2766893 / (x0 + (x0 + 6.488237))) - ((x0 * ((x0 * ((x0 * -0.000108184795) + 0.0039230706)) - 0.11610085)) + -0.904415))) + -0.00039126442"
