Complexity,Loss,Equation
1,0.19666725,"x1"
3,0.17593567,"x1 * 1.1172597"
5,0.07774836,"x1 + (x0 * 0.08165797)"
7,0.004237602,"((x0 + 5.981018) * x1) * 0.11834598"
8,1.1795091e-6,"(sqrt(x0 + 1.9997011) * 0.5000206) * x1"
10,1.1758831e-6,"((x1 * 0.49997443) + 6.6461806e-5) * sqrt(x0 + 1.9996678)"
12,1.172165e-6,"sqrt(((x1 * x1) + 0.00012794157) * ((x0 * 0.25000533) + 0.49991003))"
14,1.1423325e-6,"x1 * sqrt(((x0 * 0.25003037) + 0.49992457) + (3.070714e-5 / (x1 + -0.75417167)))"
16,1.1411769e-6,"sqrt((((0.00020331403 / ((x1 + x1) + -1.5064198)) + x0) * 0.25002778) + 0.49994522) * x1"
17,1.1215784e-6,"x1 * sqrt(((x0 * 0.24999915) + 0.50002044) - (0.00014885087 / ((sqrt(x1) * 0.3833919) - x0)))"
19,1.1143647e-6,"x1 * sqrt(((x0 * 0.25000045) + 0.5000204) - (0.00013462476 / ((sqrt(x1 + 0.08772114) * 0.36895406) - x0)))"
21,1.1142648e-6,"sqrt(((x0 * 0.25000063) + 0.5000204) - (0.00013475258 / ((sqrt((x1 + 0.091974564) / 1.0084647) * 0.36895406) - x0))) * x1"
23,1.1141625e-6,"sqrt((0.5000207 - (0.00014049934 / ((sqrt(((x1 / 1.0084647) + 0.09197455) / 1.0084647) * 0.368954) - x0))) + (x0 * 0.24999873)) * x1"
24,1.1132458e-6,"x1 * sqrt(((x0 - (-0.0017385087 / ((x0 + ((0.30861852 / x1) + ((x0 * 0.7722037) + x0))) - 1.461334))) * 0.25000408) + 0.5000344)"
26,1.1055275e-6,"x1 * sqrt(((x0 - (-0.0018673675 / ((((x0 * x0) / ((-0.7123687 / x0) + 1.7085874)) + x0) + (x0 - x1)))) * 0.24999595) + 0.5000266)"
28,1.0988773e-6,"sqrt(((x0 * 0.2499916) - (-0.0006037126 / ((x0 + (((x0 * x0) / ((0.69321424 / (x0 * -0.80188215)) + x1)) + x0)) - x1))) + 0.5000929) * x1"
30,1.088549e-6,"sqrt(((x0 - (-0.00204973 / ((((x0 * (x0 / (x1 + (0.69551975 / (x0 * -0.8019121))))) - x1) + (x0 + x0)) + -0.03379818))) * 0.24999876) + 0.5000555) * x1"
