Complexity,Loss,Equation
1,0.2024641,"x1"
3,0.18725492,"x1 / 0.9096736"
5,0.085517116,"x1 - (x0 * -0.08281509)"
7,0.004493884,"(x0 + 5.8875923) * (x1 * 0.119408414)"
8,1.1182046e-6,"x1 * sqrt((x0 * 0.2500332) + 0.49996203)"
10,1.1175337e-6,"x1 * (sqrt((x0 * 0.24997188) + 0.49962392) + 0.00024746568)"
12,1.1131124e-6,"x1 * sqrt((x0 * (0.24994962 - (-0.00012145917 / x1))) + 0.49995834)"
14,1.0753944e-6,"sqrt(0.49995536 + ((x0 - (2.9042138e-5 / (x1 + -1.9021599))) * 0.25003386)) * x1"
16,1.0751413e-6,"sqrt((0.49995834 + ((x0 * 0.25003633) - (6.810028e-6 / (-1.9021595 + x1)))) - 6.810028e-6) * x1"
18,1.0686814e-6,"sqrt((x0 * 0.25003633) + (0.49990845 - (3.2124565e-6 / ((x1 + -1.9039514) / (5.1776695 - x0))))) * x1"
19,1.0669867e-6,"x1 * sqrt(0.49995834 + ((0.25003633 * x0) - ((3.21128e-6 / (x0 + 0.33268356)) / (sqrt(x1) + -1.3789605))))"
20,1.0478486e-6,"x1 * sqrt((x0 * 0.250045) + (0.4999243 - ((4.798083e-5 / (x1 + -1.9039619)) / (x0 + (x1 * 1.8693867)))))"
22,1.0477049e-6,"x1 * sqrt((x0 * 0.250045) + (0.4999243 - ((4.798083e-5 / (x1 + -1.9039619)) / ((x0 + (x1 * 1.8624599)) + 0.0069268197))))"
24,1.0414011e-6,"sqrt((x0 * 0.25003633) + (0.49990845 - (3.2124565e-6 / ((x1 + -1.9039514) / (((0.75133765 / (x0 - 1.7800364)) + 4.779034) - x0))))) * x1"
28,1.0411751e-6,"x1 * sqrt((x0 * 0.25003633) + (0.49990845 - (3.21128e-6 / ((x1 + -1.9039514) / ((0.75133765 / (x0 - 1.7800364)) + ((x1 * x1) - (-1.1656997 + x0)))))))"
30,1.0411051e-6,"x1 * sqrt((0.49990845 - ((3.21128e-6 / ((x1 + -1.9039514) / (((0.75133765 / (x0 - 1.7800364)) + (x1 * x1)) - (x0 + -1.1656997)))) + 3.21128e-6)) + (x0 * 0.25003633))"
