Complexity,Loss,Equation
1,0.1799625,"x1"
3,0.16126966,"x1 / 0.8983083"
5,0.07407932,"x1 + (x0 * 0.07805762)"
7,0.0039730757,"((x0 * 0.11848674) + 0.7104389) * x1"
8,1.0930039e-6,"(x1 * sqrt(x0 + 1.9993565)) * 0.5000375"
10,1.0883126e-6,"((x1 + 0.00015040702) * 0.49998358) * sqrt(x0 + 1.9993243)"
12,1.0844753e-6,"((x1 + 0.00014008906) * 0.49976382) * (sqrt(x0 + 1.9966601) + 0.0016856507)"
14,1.060372e-6,"((1.6253764e-5 / (x0 - 3.840108)) + (sqrt(x0 + 1.999393) * x1)) * 0.5000389"
16,1.0331759e-6,"((sqrt(x0 + 1.99944) * x1) + (0.00012676493 / (x0 - (x1 / 1.8037828)))) * 0.50002694"
17,1.0257971e-6,"((x1 * sqrt(x0 + 1.999501)) * 0.50002533) + (0.00018003579 / ((x0 / 0.39180654) - sqrt(x1)))"
18,1.0191509e-6,"((((7.7779754e-5 / x1) / (x0 - (x1 / 1.8037829))) + x1) * sqrt(1.9994485 + x0)) * 0.50002533"
20,1.0087972e-6,"(x1 + ((3.3191573e-5 / (x0 - (x1 / 1.7718877))) / (x0 + 0.08040419))) * (sqrt(x0 + 1.9992851) * 0.50003725)"
22,1.0087724e-6,"(((4.2066176e-6 / ((x0 - (x1 / 1.7718917)) * (x0 + 0.08023554))) / 0.2542915) + (x1 * 0.50003743)) * sqrt(x0 + 1.9992851)"
24,9.904815e-7,"((x1 * sqrt(x0 + 1.9994485)) * 0.50002533) + (7.7779754e-5 / ((x0 + 0.08020664) / (0.8797658 - (-0.5049195 / (x0 - (x1 / 1.8037829))))))"
26,9.903317e-7,"((0.00013928984 / ((x0 + 0.0801973) / ((x1 + 0.41139424) - (-0.5525303 / (x0 - (x1 / 1.8037829)))))) + (sqrt(x0 + 1.9994959) * x1)) * 0.5000208"
27,9.898084e-7,"((0.00013928984 / ((x0 + 0.0801973) / (sqrt(x1 + 0.34216902) - (-0.5525303 / (x0 - (x1 / 1.8037829)))))) + (sqrt(x0 + 1.9994959) * x1)) * 0.5000208"
29,9.857092e-7,"((x1 * sqrt(x0 + 1.9994959)) + (0.00013928984 / ((x0 + 0.0801973) / ((0.7594228 + sqrt(x0 * x0)) - (-0.5525303 / (x0 - (x1 / 1.8037829))))))) * 0.5000208"
30,9.855645e-7,"((x1 * sqrt(x0 + 1.9994959)) + (0.00013928984 / ((x0 + 0.0801973) / ((sqrt(0.62238646) + sqrt(x0 * x0)) - (-0.5525303 / (x0 - (x1 / 1.8037829))))))) * 0.5000208"
