Complexity,Loss,Equation
1,0.2077378,"x1"
3,0.19224066,"x1 * 1.1001352"
5,0.088421,"x1 - (x0 * -0.083649516)"
7,0.007647708,"x1 * ((x0 - -5.8495374) * 0.120005034)"
9,0.002893157,"x1 * ((-27.5578 / (x0 + 12.364861)) + 2.920831)"
11,0.0028914458,"((-27.553732 / (x0 + 12.377344)) + 2.9165947) * (x1 + 0.0030927446)"
13,0.002775919,"x1 * ((((0.5919901 / (x0 - -4.989692)) + 0.06434673) * x0) - -0.7058375)"
15,0.0027759173,"x1 * (((0.06460914 - (0.15438685 / ((x0 * -0.2629627) - 1.3040147))) * x0) - -0.70599025)"
17,0.002769495,"x1 * ((((0.61411536 / ((x0 - (0.39865234 / x1)) - -5.435674)) + 0.06331952) * x0) - -0.7050862)"
19,0.0027543348,"((x1 + 0.032898504) * ((x0 * ((0.093870156 / ((x0 * 0.16970415) + 0.82324284)) + 0.064378016)) + 0.71440357)) + -0.03403507"
21,0.002754334,"((x1 + 0.032950368) * ((x0 * 0.06452551) + ((x0 * (0.093773484 / ((x0 * 0.17051731) + 0.8232824))) + 0.71460944))) + -0.03411484"
23,0.0027127252,"x1 * ((x0 * 0.06681579) + (((((-0.0048695863 / (x0 - -0.05960226)) + x0) * 0.0805879) / ((x0 * 0.14783353) + 0.69516045)) + 0.70817447))"
25,0.0026919763,"x1 * ((x0 * 0.06463562) + (0.7063386 + ((0.08155055 * (x0 + (0.0148284715 / ((x0 * x1) + 0.75857836)))) / ((x0 * 0.13841306) + 0.6947266))))"
27,0.0026646326,"x1 * (((x0 * 0.06681579) + (((-0.0048695863 / (x0 - (x0 * (x1 + x1)))) + (x0 / ((x0 * 0.14783353) + 0.69516045))) * 0.0805879)) + 0.70817447)"
29,0.0026585544,"(((x0 * 0.067259274) + (((-0.0049790978 / (x0 - (x0 * (x1 + x1)))) + (x0 / ((x0 * 0.14972937) + 0.69537884))) * 0.0797289)) + 0.70539814) * (x1 - -0.0056168325)"
