Complexity,Loss,Equation
1,0.18499726,"x1"
3,0.16622503,"x1 / 0.8980878"
5,0.07700383,"x1 - (x0 * -0.07884028)"
7,0.0073655928,"x1 * ((x0 * 0.11907361) - -0.70868444)"
9,0.0027781324,"x1 * ((-25.701662 / (x0 + 11.862923)) + 2.8573833)"
11,0.002767768,"(x1 - -0.0071170675) * ((-25.668407 / (x0 + 11.8875885)) + 2.8462431)"
13,0.0027074297,"(((-4.218949 / (x0 + 5.69531)) + (x0 * 0.055532143)) + 1.4422756) * x1"
15,0.0026970035,"((-4.212544 / (x0 + 5.708868)) + ((x0 * 0.055326886) + 1.4353925)) * (x1 - -0.0070609734)"
17,0.0026486258,"x1 * ((x0 / ((x0 + 7.167852) + (0.38940424 / x0))) + ((x0 * 0.042906743) + 0.7050804))"
19,0.002597894,"(((-25.701006 / (x0 + 11.8669405)) + 2.8561482) * x1) - (-0.0068769655 / (x0 + ((x0 + -0.83093417) * x1)))"
21,0.002596793,"(x1 - (-0.010099688 / (((x0 + -0.8302097) * x1) + x0))) * (0.6903769 + (x0 / ((x0 / 2.1998227) + 5.518711)))"
23,0.0025325322,"((-4.2012243 / (x0 + 5.7308083)) + ((x0 * 0.0563507) + 1.4337348)) * (x1 + (0.009810057 / ((x1 * (x0 + -0.8176154)) + x0)))"
25,0.0025275128,"(x1 * (((x0 * 0.056453563) + 1.4328691) + (-4.197414 / (x0 + 5.7380447)))) - (-0.008351934 / ((((x0 + -0.8404915) * x1) + x0) + 0.027815765))"
27,0.0025231529,"(((-4.2018614 / (x0 + 5.7294254)) + 1.431368) + (x0 * 0.055941936)) * ((x1 - (-0.01086024 / ((x0 + (x1 * (x0 + -0.8410909))) + 0.028381953))) + 0.004655511)"
29,0.0025045117,"((-4.212024 / (x0 + 5.7092404)) + ((x0 * 0.0560165) + 1.4384116)) * (x1 - (-0.0101207895 / (((x0 + -0.81878215) * x1) + ((-0.004095133 / (x1 + -0.5937357)) + x0))))"
