Complexity,Loss,Equation
1,0.20756915,"x1"
3,0.19139625,"x1 * 1.1049789"
5,0.0854478,"(x0 * 0.08320875) + x1"
7,0.007816925,"(x1 * 0.120031245) * (x0 + 5.8424726)"
9,0.0029292637,"x1 * ((-26.24127 / (x0 + 12.0193405)) + 2.8785727)"
11,0.0029220493,"(x1 + 0.006085717) * ((-26.274723 / (x0 + 12.056758)) + 2.8711903)"
13,0.0028567072,"(((x0 * 0.057163883) + 1.4154266) - (3.9434319 / (x0 + 5.566485))) * x1"
15,0.002830296,"((-26.241098 / (x0 + 12.019653)) + 2.8785279) * (x1 - (0.0023256901 / (x0 - 0.9403985)))"
17,0.0028300427,"((-26.241098 / (x0 + 12.019653)) + 2.8785279) * (x1 - (0.0023256901 / ((x0 - 0.9403985) / 1.0670961)))"
19,0.0027689964,"((x0 * (0.056968473 - (-0.7114904 / (x0 - -5.555107)))) + 0.70680296) * (x1 - (-0.0023864391 / (0.9412441 - x0)))"
21,0.0027549162,"(((x0 * 0.056858484) + (1.4197755 - (3.95699 / (x0 + 5.5480504)))) * x1) - (0.003661438 / ((x0 - -0.069465406) - x1))"
23,0.0027238997,"((((x0 * 0.057297964) + 0.7079673) - (x0 * (-0.7066692 / (x0 - -5.5565195)))) * x1) - (0.0011943302 / ((x1 + x1) + -1.3228817))"
25,0.0027163995,"((((x0 * 0.05755437) + 0.70382285) - ((x0 * -0.7049706) / (x0 - -5.5568767))) * (x1 + 0.005507135)) - (0.0012372513 / ((x1 + x1) + -1.3229109))"
27,0.0027054949,"x1 * ((0.7050735 - (x0 * (-0.7195765 / (x0 - -5.5551424)))) + (((x0 * 0.056736615) + (-0.0027185567 / (x0 + -1.6344162))) - (-0.003102741 / (0.9346989 - x0))))"
29,0.0026627267,"(-0.0037319872 / (x0 + (0.06923803 - x1))) + ((x1 - (-0.0020034658 / (0.93770516 - x0))) * ((0.056488786 * x0) + (0.7064713 - (-0.71941376 * (x0 / (x0 - -5.555107))))))"
