Complexity,Loss,Equation
1,0.19634445,"x1"
3,0.17870569,"x1 / 0.9019249"
5,0.08048634,"x1 + (x0 / 12.186952)"
7,0.007395157,"((x0 * 0.119881615) + 0.70364434) * x1"
9,0.0028794173,"x1 * ((-26.55563 / (x0 + 12.0565)) + 2.8911645)"
11,0.0028780284,"((-26.548485 / (x0 + 12.068718)) + 2.886922) * (x1 - -0.0027799197)"
13,0.0027624045,"((x0 * ((0.5775463 / (x0 + 4.8120756)) - -0.06540369)) + 0.7026124) * x1"
15,0.002761225,"(x1 + 0.0024158468) * ((((0.57636774 / (x0 + 4.812276)) - -0.06533518) * x0) + 0.70127064)"
17,0.00273338,"-0.04118732 - (((((-0.56048095 / (x0 + 4.8343945)) - 0.06376661) * x0) + -0.71359247) * (x1 + 0.038273364))"
21,0.0027238927,"-0.04118732 - ((0.038273364 + x1) * ((x0 * ((-0.56048095 / (x0 + ((0.25934097 / x0) + 4.8343945))) - 0.06376661)) + -0.71359247))"
23,0.0026728034,"(x1 * 0.692439) + (x0 * (x1 / ((x0 + 5.306168) / (((x0 * 0.059955873) + 0.9977068) - (-0.039333258 / (x0 + 0.21419865))))))"
25,0.0026604654,"(x1 * 0.6923347) + (((x1 / ((x0 + 5.3310404) / ((x0 * 0.0582778) + (0.9937091 - (-0.039414648 / (x0 + 0.21419251)))))) - -0.0021652363) * x0)"
27,0.002645677,"(x0 * ((x1 / ((x0 + 4.459781) / (((x0 * 0.0664882) - (-0.024210166 / ((x0 + 0.2102664) / x1))) + 0.82902646))) - -0.0026152553)) + (x1 * 0.69629085)"
29,0.0026397225,"((((x1 / ((x0 + 4.4607244) / (((x0 * 0.06553132) - (-0.023394436 / ((x0 + 0.21020111) / x1))) + 0.82309765))) - -0.004025491) * x0) + (x1 * 0.7028403)) - 0.007989291"
