Complexity,Loss,Equation
1,0.20118737,"x1"
3,0.18029878,"x1 * 1.1176797"
5,0.080419235,"x1 + (x0 * 0.082296036)"
7,0.007456085,"x1 * ((x0 + 5.95344) * 0.11873949)"
8,0.0029488397,"x1 * sqrt((x0 / 3.9827554) + 0.49822456)"
10,0.0029397265,"(x1 - -0.006709499) * sqrt((x0 / 4.0200334) + 0.49312097)"
12,0.002930279,"sqrt(((x0 / 3.9969249) + 0.49593893) * ((x1 * x1) - -0.0063752793))"
14,0.0028449858,"x1 * ((-0.0007671553 / (0.75113857 - x1)) + sqrt((x0 / 3.988261) + 0.49709812))"
16,0.002838437,"(-0.0005829138 / (0.75087065 - x1)) + ((sqrt((x0 / 3.999211) + 0.49046445) * x1) - -0.007240873)"
17,0.002804098,"sqrt((x0 / 3.9971173) + 0.49817464) * (x1 + (-0.0128329415 / (sqrt(x1) + (x0 * -2.576594))))"
19,0.0027867234,"x1 * sqrt((-0.01793695 / ((x0 * -2.674855) + sqrt(x1 + 0.08151422))) + ((x0 / 3.999467) + 0.50037754))"
21,0.002779566,"(x1 + 0.0060123494) * sqrt(((x0 / 4.032763) + (-0.017676573 / ((x0 * -2.674903) + sqrt(x1 + 0.08066255)))) + 0.49578166)"
22,0.002767143,"(sqrt((-0.016978573 / ((x0 * -2.651067) + 1.2392379)) + ((x0 / 4.004055) + 0.49946487)) + (-0.0007618585 / (0.7509328 - x1))) * x1"
23,0.0027213884,"x1 * ((-0.0007136399 / (0.75126016 - x1)) + sqrt(((x0 / 4.004067) + 0.4997674) + (-0.0184883 / (sqrt(x1) + (x0 * -2.650747)))))"
25,0.002692731,"x1 * ((-0.0007362471 / (0.75094575 - x1)) + sqrt(((x0 / 4.0020595) + 0.4990104) + (-0.01619811 / ((x0 * -2.6512992) + sqrt(x1 - -0.07817292)))))"
29,0.0026812956,"x1 * sqrt((x0 / 4.0007596) + (0.49959275 + ((-0.017401416 / (sqrt(x1 - -0.0706488) + (x0 * -2.6467896))) - (-0.0031927363 / (((x0 + -0.19445904) * x1) + 1.0896766)))))"
