Complexity,Loss,Equation
1,0.15966272,"x1"
3,0.1440448,"x1 * 1.1067927"
5,0.07105201,"x1 - (x0 * -0.0702068)"
7,0.0032599242,"(x0 + 6.279784) * (x1 * 0.11529101)"
9,9.1770686e-5,"x1 * ((-32.042046 / (x0 + 13.588262)) - -3.054527)"
11,9.1724905e-5,"(x1 * ((-32.042053 / (x0 + 13.588225)) - -3.054163)) - -0.00048088693"
13,4.32726e-6,"x1 * ((x0 * ((0.5977695 / (x0 + 5.179382)) + 0.06431778)) - -0.7061129)"
15,4.3151267e-6,"(x1 * ((x0 * ((0.59781754 / (x0 + 5.1794114)) + 0.06431181)) - -0.7063092)) + -0.00025113902"
17,1.0693744e-6,"((((((-0.07743065 / (x0 + 3.6561534)) + -0.0018572187) * x0) + 0.17711961) * x0) - -0.7076326) * x1"
19,1.0673579e-6,"((((((-0.077435225 / (x0 + 3.6561544)) + -0.0018575221) * x0) + 0.17713153) * x0) - -0.707681) * (x1 + -8.665947e-5)"
21,9.123729e-7,"((((((((0.018329056 / (x0 + 3.1954448)) + 0.000117417454) * x0) + -0.022442268) * x0) + 0.17648987) * x0) - -0.7074014) * x1"
23,9.103623e-7,"(x1 - 8.806336e-5) * ((((((x0 * ((0.018331092 / (x0 + 3.195445)) + 0.000117518124)) + -0.022445466) * x0) + 0.1765044) * x0) - -0.7074515)"
25,9.0463834e-7,"((x0 * ((((x0 * ((0.018333446 / (x0 + 3.1954417)) + 0.00011733545)) + -0.02244539) * x0) + 0.17649801)) - -0.70743275) * (x1 - (5.328172e-5 / x1))"
27,8.6720746e-7,"((-2.4383016e-6 / (x0 + -0.5095892)) + x1) * ((((x0 * ((x0 * ((0.018306235 / (x0 + 3.195613)) + 0.00011828343)) + -0.022433365)) + 0.17649862) * x0) - -0.7073944)"
29,8.011767e-7,"((((((((0.01842286 / (x0 + 3.195443)) + 0.00011658511) * x0) + -0.022511989) * x0) + 0.17655176) * x0) - -0.7075574) * (x1 - (0.00031368752 / (x1 - (0.9466322 - x0))))"
