Complexity,Loss,Equation
1,0.14566511,"x1"
3,0.1209909,"x1 * 1.1338719"
5,0.05799282,"(x0 / 14.375007) + x1"
7,0.0024129367,"(x0 - -6.5238867) * (x1 * 0.11317884)"
9,5.404742e-5,"((-35.597847 / (x0 + 14.518735)) - -3.1522632) * x1"
11,5.3695992e-5,"((x0 / ((x0 * 0.40383908) + 5.943633)) + 0.7005064) * x1"
13,1.1578287e-5,"((x0 / (x0 + 7.7843146)) + (0.7029844 - (x0 * -0.046088))) * x1"
15,2.3179605e-6,"((x0 / ((x0 + 5.5726886) / 0.64975494)) - ((x0 * -0.061734155) + -0.70587254)) * x1"
17,2.3161654e-6,"((((x0 * 0.061729044) - -0.70594835) + (x0 / ((x0 + 5.5730176) / 0.64982826))) * x1) + -9.777765e-5"
19,7.719484e-7,"((0.7070766 - (x0 * -0.049024276)) + (x0 / ((x0 + 7.8596096) + (x0 / (x0 + 2.8963056))))) * x1"
21,7.554693e-7,"((x0 / ((((x0 * 1.0986896) / (x0 + 3.0856328)) + x0) + 7.859534)) + (0.70713913 - (x0 * -0.049246196))) * x1"
23,7.554319e-7,"(((x0 / ((x0 * (1.0985296 / (x0 + 3.0856876))) + (7.8595147 + x0))) + 0.70714575) - (-0.04924668 * x0)) * (x1 - 1.2101617e-5)"
25,7.051474e-7,"(((((-3.2163065e-5 / (x1 - 1.0575656)) + x0) / (x0 + ((x0 / (x0 + 2.9008522)) + 7.859091))) + 0.7070314) - (x0 * -0.049029496)) * x1"
27,6.9741867e-7,"x1 * ((x0 / ((x0 + 7.860797) + (x0 / (x0 + 2.960114)))) + (0.70697063 - ((-3.1894695e-5 / ((x1 * x0) + 0.49478692)) + (x0 * -0.04902594))))"
29,6.8349095e-7,"((((x0 / ((x0 + ((x0 / (x0 + 2.9599557)) * 1.0392354)) + 7.8613024)) + 0.70710945) + (2.940679e-5 / ((x1 * x0) + 0.49412245))) - (x0 * -0.049124554)) * x1"
