Complexity,Loss,Equation
1,0.14566511,"x1"
3,0.1209909,"x1 * 1.133894"
5,0.057992827,"(x0 * 0.06956682) + x1"
7,0.0024129369,"((x0 + 6.523761) * 0.11317863) * x1"
8,7.568802e-7,"x1 * (sqrt(x0 + 2.0000732) * 0.49998125)"
10,7.539622e-7,"(-0.001209075 + sqrt((x0 * 0.25028858) - -0.50166184)) * x1"
12,7.525876e-7,"((-3.9021044e-5 / x1) + x1) * sqrt((x0 * 0.24999301) - -0.500025)"
14,6.8132107e-7,"x1 * ((-3.2775433e-6 / (x1 - 1.0570247)) + sqrt((x0 * 0.25000176) - -0.4998898))"
16,6.8053595e-7,"(-3.4933096e-6 / (x1 - 1.0570221)) + ((x1 + -4.957923e-5) * sqrt((x0 * 0.25002453) - -0.49990663))"
18,6.7223164e-7,"x1 * (sqrt((x0 * 0.25014606) - -0.50003827) + (-0.00019423882 / (((x1 + -0.7528538) / x0) - -0.49985957)))"
20,6.323527e-7,"((-3.3154017e-6 / (x1 - 1.0570352)) + sqrt((x0 * 0.25001085) - -0.49986508)) * (x1 + (-1.4355001e-5 / (0.33483738 - x1)))"
22,6.320257e-7,"(sqrt((x0 * 0.25000274) - -0.49987295) + (-3.327129e-6 / (x1 - 1.0570445))) * (x1 + ((0.4088834 / (x1 - 0.3348312)) * 3.5179226e-5))"
24,6.163073e-7,"((x1 * sqrt((x0 * 0.2500107) - -0.49986508)) + (-3.5638293e-6 / (x1 - 1.0570499))) + ((-1.654555e-5 / (x1 - x0)) / (x0 - 0.10983119))"
26,6.0015475e-7,"(-3.5067442e-6 / (x1 - 1.057043)) + (sqrt((x0 * 0.2499981) - -0.4998689) * (x1 + (((x0 * -1.3592903e-5) / (x1 - 0.3346486)) / (x1 - x0))))"
28,5.959126e-7,"sqrt((-4.4045964e-6 / (x1 - 1.0570444)) + ((x0 * 0.25000098) - -0.4998726)) * (x1 + ((-1.0066121e-5 / (x1 - 0.33483118)) * ((x0 + 0.48789087) / (x1 - x0))))"
30,5.884722e-7,"(-3.4941995e-6 / (x1 - 1.0570353)) + ((((((x0 + 0.42180273) / (x1 - 0.3346441)) - x1) * (-1.2211794e-5 / (x1 - x0))) + x1) * sqrt((x0 * 0.25000855) - -0.4998815))"
