Complexity,Loss,Equation
1,0.16236353,"x1"
3,0.14602745,"x1 / 0.9015635"
5,0.07296287,"x1 + (x0 / 14.180632)"
7,0.004774581,"((x0 / 8.659239) + 0.7257982) * x1"
9,0.0023035852,"x1 * ((-41.38716 / (x0 + 15.798212)) + 3.3206925)"
11,0.0022983926,"((-41.39227 / (x0 + 15.770563)) + 3.3280175) * (x1 + -0.004371345)"
13,0.002261614,"x1 * ((-4.4641256 / (x0 + 6.402565)) + ((x0 * 0.06212624) + 1.4045252))"
15,0.002255491,"(x1 * (((x0 * 0.06246905) + (-4.3555136 / (x0 + 6.329568))) + 1.3999478)) + -0.0056392215"
17,0.00221753,"(0.70179963 + (((0.0033045213 / (x1 - 0.4627625)) + x0) / ((x0 * 0.36838073) + 6.1307793))) * x1"
19,0.00212094,"((0.0013684363 / (x0 + (1.52283 - x1))) + ((x0 / ((x0 * 0.36353913) + 6.1308947)) + 0.6994729)) * x1"
21,0.002013244,"(((x0 * 0.04737557) + (x0 / (x0 + 7.9792023))) + 0.70856076) * ((-0.015989196 / ((x0 + x1) + -0.9217981)) + x1)"
23,0.0019902752,"((x0 * 0.0665463) + (((x0 / (x0 + 5.3771853)) + 1.2274797) * 0.58149177)) * ((-0.016355984 / (x0 + (x1 + -0.9270999))) + x1)"
25,0.0019765503,"(x1 + (-0.016193788 / ((x0 + -1.0152386) + (x1 * 1.1488637)))) * ((x0 * 0.06523023) + (((x0 / (x0 + 5.4339323)) + 1.1721709) * 0.606123))"
29,0.0019023913,"(((x0 * 0.047853004) + 0.70748615) + ((x0 + (-0.029575787 / ((x1 / x0) + 2.2706573))) / (x0 + 8.009735))) * (x1 + (-0.014920291 / (x0 + (x1 + -0.9335031))))"
