Complexity,Loss,Equation
1,0.19174308,"x1"
3,0.15736882,"x1 * 1.1575702"
5,0.078965805,"(x0 / 13.406422) + x1"
7,0.004615828,"(x0 + 6.304471) * (x1 * 0.11453261)"
9,0.0022438362,"x1 * ((-45.63114 / (x0 + 16.73506)) + 3.4262948)"
11,0.0022375304,"((-45.63035 / (x0 + 16.70696)) + 3.4334254) * (x1 + -0.004534742)"
13,0.0021912458,"((x0 * ((0.6125664 / (x0 + 5.9412975)) + 0.06635374)) + 0.7077927) * x1"
15,0.0021134592,"((-0.0016301209 / (x0 + -1.4814701)) + x1) * ((-45.630524 / (x0 + 16.706768)) + 3.430347)"
17,0.0020661163,"(((-45.63114 / (x0 + 16.735058)) + 3.4262846) * x1) + (-0.0013484469 / (x0 + (x1 * 0.42436537)))"
19,0.0019387914,"(x1 + (-0.010797272 / (((x1 * x1) + x0) + -0.70322144))) * ((-45.62928 / (x0 + 16.713724)) + 3.4302354)"
21,0.001936834,"(x1 - (0.010837137 / ((x1 * x1) + (x0 + -0.7030052)))) * (((x0 / (x0 + 16.225183)) * 2.6711845) + 0.7001136)"
23,0.0019074243,"((-45.629974 / (x0 + 16.709543)) + 3.429623) * (((0.004660859 / x0) - (0.01132063 / (((x1 * x1) + x0) + -0.70470446))) + x1)"
25,0.0018156864,"((-45.630123 / (x0 + 16.708313)) + 3.4316957) * (x1 + (((-0.0027968546 / (x0 + -1.4704726)) - 0.01215811) / ((x1 * x1) + (-0.7019055 + x0))))"
27,0.0018029016,"((-45.630306 / (x0 + 16.707363)) + 3.431897) * (((((-0.0017722173 / (x0 + -1.4622989)) / x1) - 0.012809768) / ((x1 * x1) + (x0 + -0.70903623))) + x1)"
29,0.0017876262,"((-45.629314 / (x0 + 16.713076)) + 3.4305856) * ((x1 + ((-0.0027132067 / x1) / (x0 * (x0 + -1.4609913)))) - (0.010500341 / ((x1 * x1) + (x0 + -0.7035355))))"
