Complexity,Loss,Equation
1,0.17035298,"x1"
3,0.13403413,"x1 / 0.8594868"
5,0.06427028,"x1 + (x0 * 0.0743702)"
7,0.004216398,"((x0 + 6.5517054) * x1) * 0.11259861"
9,0.002160201,"((-47.95437 / (x0 + 17.301584)) + 3.4783025) * x1"
11,0.002153314,"(x1 * ((-48.146584 / (x0 + 17.335358)) + 3.4791417)) + 0.0059514386"
13,0.002142765,"(((x0 * 0.05568472) + 1.5623157) + (-6.597932 / (x0 + 7.7496247))) * x1"
15,0.002000684,"(x1 + (0.0017960639 / (x0 + 0.4654717))) * ((-47.95437 / (x0 + 17.293781)) + 3.4781876)"
17,0.001994447,"(x1 + (0.0021768701 / ((x0 + 0.46650866) * x1))) * ((-47.95437 / (x0 + 17.29378)) + 3.4781904)"
19,0.0019735047,"(((-47.9549 / (x0 + 17.295519)) + 3.4789379) + (0.0026143715 / ((x0 - -0.46830243) * (1.4823775 - x0)))) * x1"
21,0.0018811456,"(((-47.956116 / (x0 + 17.295527)) + 3.4787173) * x1) + (0.003803747 / ((x1 + (1.0198194 - x0)) * (x0 - -0.4688264)))"
23,0.0018715569,"((0.003803747 / ((x1 + (1.0198194 - x0)) * (x0 - -0.4688264))) - -0.0069683134) + (((-47.955868 / (x0 + 17.295519)) + 3.473731) * x1)"
25,0.0018624351,"(x1 + (0.004254522 / ((x1 + x0) * (((x1 + 1.0275439) - x0) * (x0 - -0.47043467))))) * ((-47.95552 / (x0 + 17.296997)) + 3.4777203)"
27,0.0018364685,"((-47.955494 / (x0 + 17.297058)) + 3.4782143) * ((0.0038619605 / ((x0 - -0.47127688) * (((x1 + 1.0277634) - x0) * (x0 + (x1 - 0.10896655))))) + x1)"
29,0.0018342842,"(0.005131943 / ((((x1 + 1.0279764) - x0) * (x0 - -0.47114)) * (((x0 + 1.0426117) / x1) - x0))) + (x1 * ((-47.955498 / (x0 + 17.297049)) + 3.478149))"
