Complexity,Loss,Equation
1,0.18356334,"x1"
3,0.14787666,"x1 * 1.1579009"
5,0.07204998,"(x0 * 0.075446256) + x1"
7,0.0041761673,"(x0 + 6.3516283) * (x1 * 0.11417363)"
9,0.001913715,"((-45.146996 / (x0 + 16.64265)) + 3.4104478) * x1"
11,0.0019106107,"(((-44.584507 / (x0 + 16.52567)) + 3.3987217) * x1) - 0.0040384117"
13,0.0018560205,"x1 * ((x0 * ((0.601015 / (x0 + 5.848691)) + 0.06696521)) + 0.70546705)"
15,0.0017720314,"((-45.146996 / (x0 + 16.64265)) + 3.4104903) * (x1 - (0.00013296922 / (x1 - 0.4575815)))"
19,0.0017105944,"((((0.620153 / (x0 + 6.038534)) + 0.06628898) * x0) + 0.7051828) * (x1 - (0.00013296922 / (x1 - 0.4575815)))"
21,0.0016785417,"((x0 * ((0.6202334 / (x0 + 6.0385227)) + 0.06628898)) + 0.7053473) * (x1 + ((7.646425e-5 / (0.45770067 - x1)) * x0))"
23,0.0016334734,"((((0.6198668 / (6.03857 + x0)) + 0.06663521) * x0) + 0.7012074) * (x1 - (0.01972346 / ((x0 - 0.5364403) * (x0 - 6.855056))))"
25,0.0015890273,"((((0.6267629 / (x0 + 6.0378337)) + 0.0655793) * x0) + 0.7051828) * ((x1 - (-0.0027567216 / (6.85472 - x0))) - (0.00013296922 / (x1 - 0.4575815)))"
27,0.0015665627,"((x0 * ((0.6201455 / (x0 + 6.038534)) + 0.06613704)) + 0.7051623) * ((x1 - (-0.0026839806 / (6.8564305 - x0))) - ((x0 * 6.854394e-5) / (x1 - 0.45778182)))"
29,0.0015583436,"(x1 * ((((0.619751 / (x0 + 6.0384226)) + 0.06597478) * x0) + 0.70699793)) - ((((0.7570105 - x0) * -0.00013256869) / (x1 - 0.4577691)) - (0.0024308106 / (x0 - 0.53237784)))"
