Complexity,Loss,Equation
1,0.16236353,"x1"
3,0.14602745,"x1 / 0.9015635"
5,0.07296288,"(x0 * 0.07052026) + x1"
7,0.0047745807,"(x1 * (-6.28489 - x0)) * -0.11548202"
8,0.002304288,"sqrt((x0 * 0.24958697) - -0.50662607) * x1"
10,0.0022563266,"x1 * (sqrt((x0 * 0.27788204) - -0.6715217) - 0.111085914)"
12,0.0022503424,"(x1 * (sqrt((x0 * 0.27737552) - -0.6685214) - 0.10491298)) - 0.005578606"
14,0.0021708426,"((-0.009274087 / (x0 + -0.16566707)) + x1) * sqrt((x0 * 0.2509765) - -0.50728905)"
16,0.00199779,"(x1 + (-0.01697119 / ((x1 + x0) + -0.92625767))) * sqrt((x0 * 0.25085178) - -0.5119119)"
18,0.0019816973,"((-0.010907621 / (x0 + ((x1 * x1) - 0.71073467))) + x1) * sqrt((x0 * 0.25094643) - -0.5057699)"
20,0.0019408687,"(x1 + ((-0.006996226 / (x0 + ((x1 * x1) - 0.6873442))) / x1)) * sqrt((x0 * 0.2510815) - -0.5033569)"
22,0.0018896069,"(sqrt((x0 * 0.25859976) - -0.50725216) + (((x0 + 0.6504562) * -0.018449487) / ((x0 - 0.6838291) + (x1 * x1)))) * x1"
24,0.0018592122,"sqrt(((x0 + (((x0 - -0.58388656) * (-0.07412683 / ((x0 - 0.66906) + (x1 * x1)))) / x1)) * 0.25368276) - -0.5023694) * x1"
26,0.0018530936,"sqrt(((x0 * 0.2516024) + (((x0 - -0.5980936) / (x1 * (((x1 * x1) + x0) - 0.6705109))) * -0.018905614)) - -0.49926782) * (x1 - -0.0051504346)"
28,0.0018529501,"sqrt(((x0 * 0.25157765) - -0.49928805) + (((x0 - -0.59807014) * -0.018856168) / (((x0 - 0.67057943) + (x1 * x1)) * (x1 + -0.010305009)))) * (x1 - -0.0051898784)"
30,0.0018029853,"sqrt((x0 * 0.24868402) + (((x0 - -0.6243056) * (-0.018154388 / ((x1 + (x0 * -0.036457345)) * ((x0 + (x1 * x1)) - 0.67523015)))) - -0.49610665)) * (x1 - -0.013465878)"
