Complexity,Loss,Equation
1,0.17035298,"x1"
3,0.13403414,"x1 * 1.1635039"
5,0.06427028,"(x0 * 0.07436713) + x1"
7,0.004216398,"((x0 - -6.5515604) * x1) * 0.11259967"
8,0.002195212,"0.49803954 * (x1 * sqrt(x0 + 2.0673933))"
10,0.0021322458,"x1 * (sqrt((0.28412774 * x0) + 0.73823494) - 0.14629176)"
12,0.0021267906,"(x1 + 0.004456447) * (sqrt((x0 * 0.28378826) + 0.7430196) - 0.15172967)"
14,0.0020658455,"((x1 - (0.002668138 / (-0.46872133 - x0))) * 0.49803942) * sqrt(x0 + 2.0673985)"
16,0.001990097,"(sqrt((x0 * 0.28712463) + 0.7415335) - (0.15244037 + (0.001075178 / (0.44894814 + x0)))) * x1"
18,0.0019615246,"(sqrt((0.28398874 * x0) + 0.7447161) - 0.1482849) * (x1 + (0.001756092 / ((x0 * x1) - 0.6996581)))"
20,0.001959348,"(((sqrt((0.28398874 * x0) + 0.7447161) - 0.1482849) * x1) + 0.001756092) + (0.001756092 / ((x1 * x0) - 0.6996581))"
22,0.0018921358,"(sqrt((x0 * 0.30382305) + 0.8766955) - ((-0.012598183 / ((((x0 * 0.4961685) + 2.2791111) * x1) + -1.438942)) + 0.22740741)) * x1"
24,0.0018531305,"((sqrt((x0 * 0.30498415) + 0.8693358) - ((-0.011843542 / ((((x0 * 0.50443625) + 2.2803123) * x1) + -1.4350994)) + 0.23709117)) * x1) - -0.013335604"
26,0.0018529926,"(x1 * (sqrt((x0 * 0.30478612) + 0.86935884) - ((-0.011740477 / ((x1 * 2.2804701) + (((x1 * 0.5044963) * x0) + -1.4350821))) + 0.23671214))) - -0.013228335"
28,0.0018105309,"((sqrt(((x0 * 0.56999534) + 1.4777262) * 0.49816644) - 0.15059623) - (-0.0064129536 / ((-0.73077697 / (x1 * (2.5586128 - ((x1 + 0.27356717) - x0)))) + x1))) * x1"
30,0.0018103084,"x1 * ((sqrt(((x0 * 0.5706661) + 1.4775237) * 0.49752498) - 0.15023237) - (-0.0064129536 / (x1 + (-0.7258888 / ((x1 * (2.5716507 - ((x1 - x0) + 0.27918717))) + -0.014281856)))))"
