Complexity,Loss,Equation
1,0.18151815,"x1"
3,0.15561146,"x1 / 0.88472325"
5,0.06873819,"(x0 * 0.07904281) + x1"
7,0.0033472273,"(x1 * (x0 + 6.3652105)) * 0.1143583"
9,9.952282e-5,"x1 * ((-32.643826 / (x0 + 13.747583)) + 3.0714495)"
11,9.94336e-5,"((-32.595753 / (x0 + 13.731221)) + 3.071111) * (x1 - 0.0006944438)"
13,4.2888864e-6,"((x0 * ((0.5999612 / (x0 + 5.1833844)) + 0.06415147)) - -0.70602953) * x1"
15,4.2861575e-6,"(x1 * ((((0.5980185 / (x0 + 5.1705556)) + 0.064252794) * x0) - -0.70618504)) - 0.00014684291"
17,1.0977667e-6,"x1 * ((x0 * ((x0 * -0.001747822) + ((0.29709452 / (x0 + 3.7296062)) + 0.097800314))) + 0.70748526)"
19,9.199958e-7,"((((1.1050582 / (x0 + 11.402222)) + ((0.09655356 / (x0 + 2.6843677)) + 0.043239262)) * x0) + 0.7071547) * x1"
21,8.713714e-7,"(((((1.0522726 / (11.320762 + x0)) + 0.08354568) + ((-0.038790025 * x0) / (x0 + 2.7945316))) * x0) + 0.7071676) * x1"
23,8.66678e-7,"((x0 * (0.08356679 + ((-0.038805213 * (x0 / (x0 + 2.7945316))) + (1.0522765 / (11.320761 + x0))))) + 0.70725304) * (x1 - 0.00015177169)"
25,8.6510664e-7,"(((x0 * (((0.56875914 / (x0 + 7.2748904)) - (x0 * 0.00070844335)) + 0.07094824)) + 0.778718) + (-0.1856703 / (x0 + 2.5966563))) * (x1 + -0.00015051929)"
27,8.6509743e-7,"((-0.18572411 / (x0 + 2.5966508)) + ((x0 * (((0.5688281 / (x0 + 7.2748866)) + 0.07148873) - ((x0 - -0.7883616) * 0.00070715084))) + 0.7787421)) * (x1 + -0.00014720105)"
29,8.650716e-7,"(((x0 + -0.00015051929) + x1) - x0) * ((-0.1856703 / (x0 + 2.5966563)) + (((((0.56875914 / (x0 + 7.2748904)) - (x0 * 0.00070844335)) + 0.07094824) * x0) + 0.778718))"
