Complexity,Loss,Equation
1,0.18036847,"x1"
3,0.16220215,"x1 / 0.9014939"
5,0.07384792,"(x0 * 0.07616211) + x1"
7,0.0037884372,"(x1 * (x0 - -6.1838465)) * 0.11636963"
9,0.000115912546,"x1 * ((32.173138 / (-13.616638 - x0)) + 3.0584018)"
11,0.0001156323,"(x1 * ((x0 * -3.0413985) + -9.374541)) / (-13.4776945 - x0)"
13,4.8450393e-6,"(((x0 * 0.064651005) + 1.2960553) + (3.0133295 / (-5.1094475 - x0))) * x1"
15,4.8441007e-6,"((((x0 * 0.06465173) + (3.0133204 / (-5.109509 - x0))) + 1.2961006) * x1) - 7.186889e-5"
17,1.1227979e-6,"((((x0 * -0.0018804969) - -0.10021696) * x0) + ((1.0024745 / (-3.6106734 - x0)) + 0.98540044)) * x1"
19,1.1057228e-6,"x1 * ((((0.09819837 - (x0 * 0.0017651129)) * x0) + 1.0007259) + (2.3490117 / (-8.014816 - (x0 / 0.46179825))))"
21,1.100479e-6,"(((0.09821813 - (x0 * 0.0017661618)) * x0) + ((2.349005 / (-8.014814 - (x0 / 0.4617885))) + 1.0008037)) * (x1 - 0.00015214941)"
23,1.09598e-6,"x1 * (((((0.09812313 - (x1 * -5.2364634e-5)) + (x0 * -0.0017656168)) * x0) + (2.3490167 / (-8.014814 - (x0 / 0.46180832)))) + 1.0007244)"
25,9.393987e-7,"x1 * ((2.9583657 / (-9.316065 - (x0 / 0.42412585))) + ((-0.0030483475 / (x0 + 1.6923147)) + ((x0 * (0.09562276 - (x0 * 0.0016536913))) + 1.0268059)))"
27,9.3878276e-7,"((((2.9583657 / (-9.316061 - (x0 / 0.424125))) + (-0.0028577016 / ((x0 + 1.0825881) - -0.5948563))) + 1.026697) + (x0 * (0.09565525 - (x0 * 0.001656483)))) * x1"
