Complexity,Loss,Equation
1,0.17715006,"x1"
3,0.15864553,"x1 * 1.1118039"
5,0.071970575,"x1 - (x0 * -0.077207536)"
7,0.0036428126,"x1 * ((x0 * 0.116480485) + 0.7188784)"
9,0.00010877786,"((-31.887486 / (x0 + 13.547254)) + 3.0494661) * x1"
11,0.00010857178,"((x0 / (x0 + 13.425744)) + 0.2973048) * (x1 * 2.339473)"
13,4.4378653e-6,"x1 * ((x0 * (0.06450453 - (-0.59301287 / (x0 + 5.1314373)))) + 0.7061865)"
15,4.4197163e-6,"(((x0 * (0.064482175 - (-0.59335107 / (x0 + 5.1331677)))) + 0.7064214) * x1) - 0.0003176485"
17,1.1262823e-6,"(((0.17738938 - (((0.07886978 / (x0 - -3.6933026)) + 0.0017884048) * x0)) * x0) + 0.7075878) * x1"
19,1.1143586e-6,"((x0 * (0.17739616 - (x0 * ((0.07863565 / (x0 - -3.683202)) + 0.0018019553)))) + 0.7077293) * (x1 + -0.0002367522)"
21,9.3779954e-7,"(((0.17647585 - (x0 * ((0.026681302 / (x0 + 2.4986935)) + (0.09964618 / (x0 + 9.021295))))) * x0) + 0.70700115) * x1"
23,9.0039146e-7,"x1 * (((0.1766757 - (x0 * ((0.0378679 / (x0 + 2.8058376)) + ((0.08004471 / (x0 + 9.59755)) + 0.00037544128)))) * x0) + 0.70722914)"
25,8.8714415e-7,"((((0.17667674 - (x0 * (((0.080046095 / (x0 + 9.597273)) + 0.00037702083) + (0.03785335 / (x0 + 2.805838))))) * x0) + 0.7074317) * x1) - 0.00027617987"
29,8.8696095e-7,"((x1 - 0.00012962015) * (((x0 * 0.17670572) - ((x0 * (((0.08002764 / (x0 + 9.563599)) + (0.037785683 / (x0 + 2.8058388))) + 0.00037781586)) * x0)) + 0.70739293)) - 0.00013573196"
