Complexity,Loss,Equation
1,0.18036847,"x1"
3,0.16220216,"x1 * 1.109246"
5,0.07384792,"x1 - (x0 * -0.0761621)"
7,0.0037884377,"((x0 + 6.1839323) * x1) * 0.11636799"
8,8.649137e-7,"(x1 * sqrt(x0 + 2.000537)) * 0.49996045"
10,8.6061067e-7,"((sqrt(x0 + 2.000955) * x1) * 0.499989) - 0.0001568896"
14,8.405709e-7,"sqrt((-3.236452e-5 / (x1 - 0.4731292)) - ((x0 * -0.24996409) + -0.5000798)) * x1"
18,8.296849e-7,"x1 * sqrt((-4.8256232e-5 / ((-0.06876259 - x0) * (x1 - x0))) - ((x0 * -0.24995779) + -0.50007194))"
23,8.07297e-7,"x1 * sqrt(((0.00031752573 / (((x1 / 0.13566212) - x0) - sqrt(x1))) / (x0 - -0.06876259)) - ((x0 * -0.2499578) + -0.50007194))"
25,8.0718894e-7,"sqrt(((0.00031752573 / ((x1 / 0.13566212) - (x0 - (0.0010788835 - sqrt(x1))))) / (x0 - -0.06876259)) - ((x0 * -0.2499578) + -0.50007194)) * x1"
27,8.069552e-7,"x1 * sqrt(((0.00031751028 / ((x1 / 0.13566212) - (x0 - ((x0 * 0.00045347612) - sqrt(x1))))) / (x0 - -0.06876259)) - ((x0 * -0.24995779) + -0.50007194))"
29,8.0680616e-7,"sqrt(((0.00031752573 / ((x1 / 0.13566212) - (x0 - (((x0 + -1.6947318) * 0.0005625365) - sqrt(x1))))) / (x0 - -0.06876259)) - ((x0 * -0.2499578) + -0.50007194)) * x1"
