Complexity,Loss,Equation
1,0.18339157,"x1"
3,0.15786761,"x1 * 1.1293324"
5,0.07189086,"(x0 * 0.078591265) + x1"
7,0.005209381,"(x1 * 0.11450418) * (x0 + 6.3441687)"
9,0.0022928629,"x1 * ((-36.313812 / (x0 + 14.63878)) + 3.177398)"
11,0.0022786458,"((-36.201458 / (x0 + 14.567166)) - -3.1862552) * (x1 - 0.008101427)"
13,0.002278645,"(((-36.201637 / (x0 + 14.566135)) - -3.186374) * (x1 - 0.008305602)) + 0.000249895"
15,0.0022333188,"(((-36.193066 / (x0 + 14.603395)) - -3.174769) + (0.001297383 / (x0 - 0.16943887))) * x1"
17,0.002182186,"(((-36.19294 / (x0 + 14.604398)) - -3.1741564) * x1) - (-0.0009915265 / (x1 + (x1 + -0.9279822)))"
19,0.0021727956,"(x1 - (x1 / -1.3356378)) * (((-59.66975 / (x0 + 28.970007)) - -2.537111) - (0.19107798 / (x0 + 2.6535249)))"
21,0.0021605738,"((-59.66875 / (x0 + 28.967655)) - (-2.5424554 + (0.2042351 / (2.7103024 + x0)))) * ((x1 + -0.013092022) - (x1 / -1.3336967))"
23,0.0021605717,"(x1 - ((x1 / -1.3354813) + 0.01316269)) * ((((-59.668716 / (x0 + 28.96776)) - -2.5424333) * 1.000594) - (0.20421796 / (x0 + 2.7094738)))"
25,0.0021191884,"(((-59.65916 / (x0 + 28.941364)) - -2.578033) - (0.32295838 / ((-0.049189486 / (0.38655326 - x1)) + (x0 + 3.1817763)))) * (x1 - (x1 / -1.4428009))"
27,0.0021023669,"(x1 - (x1 / -1.4602026)) * (((-59.65952 / (x0 + 28.944666)) - -2.5821097) - (0.32019448 / ((x0 - (-0.082196645 / ((1.308983 / x0) - x1))) + 3.1841865)))"
29,0.0020902164,"(x1 - ((x1 / -1.4477746) - -0.012684871)) * (((-59.659504 / (x0 + 28.94604)) - -2.5838597) - (0.32272935 / ((x0 + 3.18286) - (-0.08294943 / ((1.3069556 / x0) - x1)))))"
