Complexity,Loss,Equation
1,0.18402855,"x1"
3,0.16301207,"x1 * 1.119237"
5,0.0770507,"(x0 * 0.07564702) + x1"
7,0.005235309,"(-6.264485 - x0) * (x1 * -0.11522961)"
9,0.002480912,"x1 / (0.30938134 - (-3.6675193 / (x0 + 3.2687898)))"
11,0.002466614,"(x1 / (0.30959952 - (-3.6432924 / (x0 + 3.2864537)))) + -0.008695081"
13,0.0024577237,"x1 / (0.31945017 + ((x1 * -0.00676907) - (-3.6727993 / (x0 + 3.2739825))))"
15,0.0023227236,"(x1 + ((x0 * x1) * 0.058784418)) / (0.7866876 - (-1.424868 / (x0 + 2.2956436)))"
17,0.0023148719,"((x1 + ((x1 * 0.058382213) * x0)) / (0.78288823 - (-1.4179868 / (x0 + 2.304826)))) + -0.0063008796"
19,0.0023073056,"(((x1 * x0) * 0.057529014) + x1) / (((x1 * -0.007163382) - (-1.460344 / (x0 + 2.3173933))) + 0.78847647)"
21,0.0023061684,"(((x1 * 0.05920683) * x0) + x1) / (0.7969685 - ((-1.4079643 / (x0 + 2.2862413)) - (x1 * (x1 * -0.002632685))))"
23,0.0022961232,"x1 / (1.4065022 - (-1.0436008 / ((((x0 / -0.8985249) + -2.9185445) / x0) + ((x0 - (0.67464113 / (x0 + -0.5488105))) * 0.017181544))))"
25,0.0022840581,"(x1 / (1.4065022 - (-1.0436008 / (((-2.9074574 + (x0 / -0.8985249)) / x0) + ((x0 - (0.688479 / (x0 + -0.5488105))) * 0.017181544))))) - 0.0029629462"
27,0.0022547673,"x1 / (1.4078666 - (-1.0512117 / ((((x0 / -0.9082788) + -2.9187753) / x0) + (((-2.9187753 / (x0 + ((1.4078666 / x1) - x1))) + x0) * 0.015223918))))"
29,0.0022440027,"(x1 + -0.00614344) / (1.4029924 - (-1.0511545 / ((((x0 / -0.9066787) + -2.9184477) / x0) + (((-2.9184477 / (x0 + ((1.4059743 / x1) - x1))) + x0) * 0.014920507))))"
