Complexity,Loss,Equation
1,0.17064437,"x1"
3,0.1566217,"x1 / 0.91269994"
5,0.07683016,"(x0 * 0.075575106) + x1"
7,0.005501811,"((x0 - -6.1177626) * x1) * 0.11756362"
9,0.00549453,"(((x0 * 0.11752506) - -0.7240401) * x1) + -0.0063926126"
11,0.0025495007,"(0.008270295 - x1) / ((-3.562947 / (x0 + 3.2120144)) + -0.31422713)"
13,0.0025493132,"((0.0053705988 - x1) / ((-3.5616362 / (x0 + 3.2191691)) + -0.31490272)) - 0.0034867087"
15,0.0023601179,"-0.008318521 - (x1 / (((x0 * 0.016484687) + -0.5504211) + (-2.1777384 / (x0 + 2.5708148))))"
17,0.0023402907,"(0.007445065 - x1) / (((-0.96412206 / (x0 + 2.065715)) + (-4.9155383 / (x0 + 6.7130394))) + -0.19658633)"
19,0.002338224,"(0.0073913466 - x1) / ((-0.9774973 / (x0 + 2.0531495)) + (-0.17776674 + (-4.894767 / ((x0 + 7.226541) * 0.9163738))))"
21,0.0023122502,"(-0.011083527 - x1) / ((((-4.710725 / (x0 + 6.2367096)) + -0.23777951) + (-0.9100752 / (x0 + 2.040049))) - (x1 * -0.015412156))"
23,0.0022564288,"(0.007146908 - x1) / (((-4.7067933 / ((x0 - (0.00459105 / (x0 - 2.778998))) + 6.305977)) + -0.20735121) + (-0.90882844 / (x0 + 2.040913)))"
29,0.0022437437,"((0.008053394 - x1) / (((-0.8929248 / (x0 + 2.0361307)) + (-4.708039 / (x0 + 6.298692))) + -0.2087034)) - (0.0005190174 / (x1 * (x1 * ((1.4207546 - x0) * x1))))"
