Complexity,Loss,Equation
1,0.17991363,"x1"
3,0.1620795,"x1 * 1.108205"
5,0.07558235,"x1 - (x0 * -0.07537424)"
7,0.005549047,"(0.1156743 * x1) * (x0 + 6.2324915)"
8,0.002162318,"(sqrt(x0 + 2.0268064) * 0.49804193) * x1"
10,0.0021514203,"((x1 * 0.49952567) * sqrt(x0 + 2.046289)) - 0.007838648"
12,0.0021426275,"x1 * sqrt(0.5025722 - (x0 * ((x1 * -0.006431173) + -0.23841323)))"
14,0.002103425,"((0.0024876646 / (x0 + 0.07078276)) + x1) * sqrt(0.5029039 - (x0 * -0.2476736))"
16,0.0021024668,"sqrt((0.50342435 - (x0 * -0.24758843)) * ((x1 + (0.0050482177 / (x0 + 0.06718913))) * x1))"
18,0.0020893386,"sqrt(((0.5121006 - (x0 * -0.24919721)) * (x1 + (0.0050906236 / (x0 + 0.06719888)))) * x1) + -0.008603965"
20,0.0020706328,"sqrt(((x1 + (0.0054961117 / (x0 + (-0.66560113 / x1)))) * (0.51214546 - (-0.24916571 * x0))) * x1) + -0.008800256"
22,0.0019623085,"(0.002736355 / (((0.24945654 / (x1 - x0)) + (x1 * x1)) - 0.72790056)) + (x1 * sqrt(0.50197786 - (x0 * -0.24806117)))"
23,0.0019349847,"(0.002736355 / ((x1 * (x1 + (0.3408986 / (sqrt(x1) - x0)))) - 0.7166345)) + (x1 * sqrt(0.50197786 - (x0 * -0.24806117)))"
26,0.0019327862,"sqrt(((x1 * 0.004106395) / ((0.24945654 / (x1 - x0)) + ((x1 * x1) - 0.72790056))) + ((x1 * x1) * (0.5038292 - (x0 * -0.24847966))))"
28,0.0019290582,"(((x1 * -0.00291917) + 0.0050385464) / (((0.24945654 / (x1 - x0)) + (x1 * x1)) - 0.72790056)) + sqrt(x1 * (x1 * (0.5038292 - (x0 * -0.24847966))))"
30,0.0019263773,"(((x1 * -0.0032002905) + 0.005401371) / ((0.24962084 / (x1 - x0)) + ((x1 * x1) - 0.72812736))) + sqrt((0.5027459 - (x0 * -0.2482047)) * ((x1 * x1) + 0.002702816))"
