Complexity,Loss,Equation
1,0.20371948,"x1"
3,0.1406677,"x1 * 1.2010901"
5,0.06667445,"x1 + (x0 / 12.406499)"
7,0.002750388,"x1 * ((x0 * 0.11266572) + 0.73560804)"
9,5.981011e-5,"x1 * ((35.40733 / (-14.44204 - x0)) + 3.1496553)"
11,5.9595874e-5,"x1 * ((x0 * (2.43452 / (x0 - -14.288658))) + 0.6976319)"
13,2.2588872e-6,"((x0 * 0.059935924) + (1.3886335 + (3.93631 / (-5.7578897 - x0)))) * x1"
15,2.2441677e-6,"(x1 * ((3.9362772 / (-5.7579265 - x0)) + ((x0 * 0.0599308) + 1.3888488))) + -0.00027728904"
17,8.669436e-7,"x1 * (((1.2977043 / (-3.9710124 - x0)) + ((0.09507298 - (x0 * 0.0016543308)) * x0)) + 1.0337672)"
19,8.600434e-7,"(x1 * ((1.2617111 / (-3.9320033 - x0)) + ((x0 * (0.095719896 - (x0 * 0.001686547))) + 1.0280873))) - 0.00019826497"
21,8.125305e-7,"((((0.041265655 - (0.22457106 / (-2.420173 - (x0 * 0.19390889)))) * x0) + 0.83145595) + (0.36429462 / (-2.9266002 - x0))) * x1"
23,8.0448467e-7,"((((x0 * (0.041256163 - (0.22458881 / (-2.4201694 - (x0 * 0.19388328))))) + 0.83162) + (0.36424345 / (-2.9266062 - x0))) * x1) - 0.0002292539"
27,8.007615e-7,"(x1 * (((x0 * 0.041300233) + ((0.36251736 / (-2.9271126 - x0)) + 0.8308403)) - ((0.22003187 / (-2.3667307 - (0.19034801 * x0))) * x0))) + (-7.213285e-5 / x1)"
29,7.8780397e-7,"(((0.83074754 - (x0 * (0.22001612 / (-2.366736 - (x0 * 0.19042966))))) + (0.3625436 / (-2.92711 - x0))) + (x0 * 0.041324936)) * (x1 + (1.0695363e-5 / (1.5036476 - x1)))"
