Complexity,Loss,Equation
1,0.20106474,"x1"
3,0.14859712,"x1 * 1.1872729"
5,0.065011635,"x1 - (x0 * -0.08391004)"
7,0.0027093496,"(x0 - -6.4055176) * (x1 * 0.113695495)"
9,7.077051e-5,"x1 / ((3.5320315 / (x0 + 3.1751373)) + 0.32044888)"
11,7.074885e-5,"(x1 / ((3.5293221 / (x0 + 3.1751373)) + 0.3206486)) - 0.0003118511"
13,6.996545e-5,"x1 / ((3.5320315 / ((x0 - (0.00030238245 / x0)) + 3.1765392)) + 0.32044888)"
15,1.6060694e-6,"x1 / ((4.9702744 / (5.043776 + (x0 - (2.2307174 / (x0 + 2.8478048))))) + 0.24615288)"
17,1.5961738e-6,"(x1 / ((4.9702744 / ((x0 + 5.043876) - (2.2307174 / (x0 + 2.8478048)))) + 0.24615288)) + -0.000100243655"
19,1.5889094e-6,"(x1 / (0.24615288 + (4.9702744 / ((5.043876 + x0) - (2.2307174 / (x0 + 2.8478048)))))) + (-0.000100243655 / x1)"
21,8.660528e-7,"(x1 * 0.70727676) + (x1 / ((((2.4226184 / (x0 * 0.2685155)) + 2.4269714) / ((x0 * 0.2949877) + 1.5979866)) + 0.24722563))"
23,8.5025914e-7,"((x1 * 0.70753336) + -0.00030023247) + (x1 / ((((2.4226246 / (x0 * 0.26836038)) + 2.426975) / ((x0 * 0.2949306) + 1.5987191)) + 0.24722937))"
25,8.5022526e-7,"(x1 * 0.70753336) + ((x1 / ((((2.4226246 / (x0 * 0.26836014)) + 2.426975) / (((x0 - 0.0010769418) * 0.29493058) + 1.5990194)) + 0.24722931)) + -0.00030025723)"
27,7.892445e-7,"(x1 * 0.70717317) + (x1 / ((((2.4274852 / (x0 * 0.2678272)) + 2.4270782) / (((x0 * 0.29500157) - (0.00069472526 / (x0 + 1.3504544))) + 1.6057038)) + 0.24758863))"
29,7.839819e-7,"(x1 * 0.7071177) + (x1 / ((((2.4274845 / (x0 * 0.267977)) + 2.427089) / (((x0 * 0.2949718) + 1.6057044) - ((x1 * 0.00093750726) / (x0 + 1.3504546)))) + 0.24763256))"
