Complexity,Loss,Equation
1,0.1722272,"x1"
3,0.12553306,"x1 * 1.183108"
5,0.061903026,"x1 - (x0 * -0.074439585)"
7,0.0026027677,"x1 * ((x0 + 6.4615784) * 0.113530055)"
9,6.121599e-5,"x1 * ((-33.09921 / (x0 + 13.866821)) + 3.0834277)"
11,6.120911e-5,"(x1 * ((-33.09921 / (x0 + 13.866815)) + 3.0835652)) - 0.00018228884"
13,2.655408e-6,"((((0.6545165 / (x0 + 5.5599933)) + 0.061439205) * x0) + 0.7050447) * x1"
15,2.6398036e-6,"(((x0 + 2.5396228) * x1) + -0.0013446538) * ((1.2061151 / (x0 + 5.5733857)) + 0.061315127)"
17,1.0085042e-6,"(x1 * ((x0 * ((x0 * -0.0018427749) - -0.098876916)) + (1.0937274 / (-3.737808 - x0)))) + x1"
19,1.0084939e-6,"(x1 + ((((-0.0018425765 * x0) - -0.09887559) * x0) * x1)) + (x1 * (1.0937245 / (-3.7378027 - x0)))"
21,1.0014036e-6,"(((x1 * 1.0930443) + 0.0010082894) / (-3.7383091 - x0)) + (x1 + (((x0 * -0.0018429393) - -0.09887763) * (x0 * x1)))"
23,9.927813e-7,"(((x1 * (0.09885784 - (x0 * 0.0018413414))) * x0) + x1) + (x1 / ((-3.7339966 - x0) / ((0.00029788204 / x0) + 1.0926392)))"
25,9.0488055e-7,"x1 + (((x0 * ((x0 * -0.0018447648) - -0.0988961)) * x1) + (x1 * (((-0.00030484956 / (x0 + 1.3654633)) + 1.0942786) / (-3.7389512 - x0))))"
27,8.924859e-7,"(((0.00032151793 / (x0 * (1.3654519 + x0))) + 1.0944011) * ((x1 / (-3.7388017 - x0)) + ((x1 * x0) * ((x0 * -0.0016887569) - -0.090387926)))) + x1"
29,8.886608e-7,"(x1 + ((((x0 * -0.0018505643) - -0.09894723) * x0) * x1)) + ((((0.00040092174 / ((x0 + 1.3654656) * x0)) + 1.0940458) * (x1 / (-3.7390347 - x0))) - 0.00014279273)"
