Complexity,Loss,Equation
1,0.18417665,"x1"
3,0.13559014,"x1 * 1.1845477"
5,0.059291534,"(x0 * 0.08011563) + x1"
7,0.0025593713,"x1 * ((x0 + 6.4946427) * 0.11294375)"
9,0.0025459745,"(x1 * ((x0 * 0.112728454) + 0.74076056)) + -0.008462122"
11,0.00021282557,"x1 * ((((x0 * -0.0063548335) + 0.15913373) * x0) + 0.69690853)"
13,6.417361e-5,"(x1 - ((x1 * -0.31637195) * x0)) / ((x0 * 0.10191806) + 1.4327437)"
15,6.403768e-5,"(x1 + ((0.0026906156 - (x0 * x1)) * -0.3165028)) / ((x0 * 0.10204502) + 1.4320364)"
17,2.8306429e-6,"(x1 - (x0 * (x1 * ((x0 * -0.015488359) + -0.4329722)))) / ((x0 * 0.25371042) + 1.4178499)"
19,2.8238435e-6,"((x1 - (x1 * (((x0 * -0.015504294) + -0.43308118) * x0))) - 0.00023902974) / ((x0 * 0.25386393) + 1.4176834)"
21,2.789316e-6,"(-1.6376705e-5 / x0) + ((x1 - ((((x0 * -0.015696792) + -0.4344163) * x0) * x1)) / ((x0 * 0.25565925) + 1.4176849))"
23,9.588679e-7,"(x1 - ((((x0 * -0.010527902) + -0.36210436) * x1) * x0)) / ((((-0.059332676 / (x0 + 1.8448879)) + 0.19028112) * x0) + 1.4158273)"
25,9.225215e-7,"(x1 - ((x0 * ((x0 * -0.010400292) + -0.36222968)) * x1)) / ((x0 * ((-0.05936852 / ((x0 * 1.0447608) + 1.9127436)) + 0.18951349)) + 1.4158007)"
