Complexity,Loss,Equation
1,0.20106474,"x1"
3,0.14859712,"x1 / 0.84226656"
4,0.14353245,"x1 * sqrt(x1)"
5,0.065011635,"(x0 * 0.08391004) + x1"
7,0.0027093492,"((x0 + 6.4054947) * 0.11369522) * x1"
8,8.4498566e-7,"x1 * (sqrt(x0 - -2.0004492) * 0.49993476)"
10,8.3038384e-7,"sqrt(x0 - -2.0006638) * ((x1 - 0.00025003002) * 0.50001407)"
12,8.12867e-7,"((x1 + (x0 * -6.6211236e-5)) * 0.50010854) * sqrt(x0 - -1.9991126)"
14,7.696183e-7,"(((1.3761167e-5 / (x1 + -0.33872306)) + x1) * sqrt(x0 - -2.0003796)) * 0.49993673"
16,7.674907e-7,"((((1.3152577e-5 / (x1 + -0.33882898)) + -0.00010390616) + x1) * 0.4999713) * sqrt(x0 - -2.000399)"
18,7.572815e-7,"x1 * (((-3.5466986e-5 * (x0 + (-0.59591407 / (x1 + -0.3395748)))) + 0.5002004) * sqrt(x0 - -1.9981636))"
20,7.504629e-7,"sqrt(x0 - -1.9983264) * ((x1 - 0.00018023652) * ((((-0.56649727 / (x1 + -0.3399673)) + x0) * -3.5321606e-5) + 0.5002565))"
22,7.497078e-7,"(((((((-0.5664953 / (x1 + -0.33976945)) + x0) * x1) * -7.13417e-5) + x1) * sqrt(x0 - -1.9989614)) - 0.0004352348) * 0.5002295"
24,7.3001127e-7,"(sqrt(x0 - -1.9963334) * ((((x0 + (-0.4595812 / (x1 + -0.33953437))) - (x1 / (x0 - -1.1898745))) * -4.601216e-5) + 0.50031465)) * x1"
26,7.2996136e-7,"((((-0.4595812 / (x1 + -0.339484)) + (x0 - ((x1 / (x0 - -1.1898743)) + -0.41374582))) * -4.6053294e-5) + 0.5003345) * (sqrt(x0 - -1.9963201) * x1)"
28,7.256861e-7,"x1 * ((((((-0.45958003 / (x1 + -0.33968484)) - (x1 / (x0 - -1.1898303))) + ((1.5002021 / x1) + x0)) * -4.4854536e-5) + 0.5003476) * sqrt(x0 - -1.9965444))"
30,7.2561335e-7,"sqrt(x0 - -1.9966274) * ((((((x0 + (1.585968 / (x1 + -0.057467505))) - (x1 / (x0 - -1.1898298))) + (-0.45957974 / (x1 + -0.3398573))) * -4.4221113e-5) + 0.5003455) * x1)"
