Complexity,Loss,Equation
1,0.18417665,"x1"
3,0.13559014,"x1 * 1.1845834"
5,0.059291538,"x1 + (x0 * 0.08011972)"
7,0.0025593718,"x1 * ((x0 + 6.4946275) * 0.11294502)"
8,8.23491e-7,"x1 * sqrt(0.5000981 - (x0 * -0.2499667))"
10,8.123521e-7,"x1 * (0.0015775567 + sqrt(0.4979266 - (x0 * -0.24957862)))"
12,8.048493e-7,"x1 * ((x0 * -0.00017425312) + sqrt(0.5001256 - (x0 * -0.2504443)))"
14,7.857644e-7,"(((x0 * -0.0007733869) + -0.0076673888) + sqrt(0.51082 - (x0 * -0.25401187))) * x1"
16,7.6008655e-7,"sqrt(0.49988458 - (x0 * ((((x0 - 6.86462) * x0) * 1.9722951e-5) + -0.24995257))) * x1"
18,7.4436286e-7,"sqrt(0.4998846 - (x0 * (((((x0 - 6.86462) * 1.3945077e-5) * x0) * x1) + -0.24994884))) * x1"
20,7.3917397e-7,"x1 * sqrt(0.49988604 - (((((x0 * (x0 - 6.86462)) * (x1 - 0.8170094)) * 2.8115735e-5) + -0.24995224) * x0))"
22,7.247e-7,"x1 * sqrt(0.4998778 - (((3.9938885e-5 * (((x1 + -0.8324078) * (x0 - 6.86462)) * (x0 + -1.5108815))) + -0.24996124) * x0))"
24,7.044995e-7,"x1 * sqrt(0.49988604 - ((((x0 - (x0 / ((x0 * x1) + 1.0249467))) * (2.0139387e-5 * (x0 - 6.86462))) + -0.2499526) * x0))"
26,6.9415165e-7,"x1 * sqrt(0.49988604 - (x0 * (((x0 - 6.86462) * (((x1 - (1.039778 / ((x1 * x0) + 1.02491))) * x0) * 1.6855154e-5)) + -0.2499526)))"
28,6.9095313e-7,"sqrt(0.49988604 - (x0 * ((((x0 - 6.86462) * ((x0 * (x1 - (1.0044609 / ((x0 * x1) + 1.02491)))) - 0.73896486)) * 1.6855154e-5) + -0.2499526))) * x1"
30,6.7652974e-7,"sqrt(0.49988624 - (x0 * (((x0 - 6.86462) * (((x1 * x0) + (1.5010347 / ((x1 * ((x0 - x1) * x1)) + 1.0044609))) * 1.4083267e-5)) + -0.24995263))) * x1"
