Complexity,Loss,Equation
1,0.19165342,"x1"
3,0.12541299,"x1 * 1.2121114"
5,0.06168424,"x1 + (x0 * 0.0779287)"
7,0.0022968038,"((x0 + 6.615139) * x1) * 0.11189027"
8,8.534909e-7,"x1 * (sqrt(x0 + 1.999907) * 0.49999064)"
10,8.2966307e-7,"((sqrt(x0 + 1.9910702) + 0.0048998026) * 0.49939156) * x1"
14,8.2514265e-7,"x1 * sqrt(((-0.0004269085 / (x0 + 1.4347827)) + (x0 + 2.0005562)) * 0.24997735)"
15,7.9743893e-7,"x1 * sqrt(((x0 + (0.00010547767 / (sqrt(x1) + -0.57483846))) + 2.0005562) * 0.24997735)"
17,7.876221e-7,"sqrt((((0.000120084354 / (sqrt(x1) + -0.57484126)) + x0) + 1.999907) * ((x1 * 0.24998595) * x1))"
19,7.809201e-7,"sqrt((((x1 * ((x0 + 2.000557) + (0.00014090323 / (sqrt(x1) + -0.57499623)))) * 0.24998914) + -0.0002542145) * x1)"
23,7.5179094e-7,"sqrt(((((x0 + 2.000222) + (0.00012034046 / (sqrt(x1) + -0.5748391))) * (x1 * x1)) + (8.674628e-5 / (x1 + -0.68719226))) * 0.24997336)"
27,7.326036e-7,"sqrt((((0.00011890694 / (sqrt(x1) + -0.57484007)) + (x0 + (0.00022049937 / ((x0 + 1.4137543) * (x0 + 0.5004106))))) + 2.0004323) * ((x1 * x1) * 0.24996965))"
29,7.302853e-7,"sqrt(((x1 * 0.24996784) * ((x0 + (((0.00021394623 / ((x0 + 0.49996963) * (x0 + 1.4204738))) + (0.0001043398 / (sqrt(x1) + -0.57483846))) * 1.2903951)) + 2.000432)) * x1)"
