Complexity,Loss,Equation
1,0.1834446,"x1"
3,0.13483435,"x1 * 1.1846701"
5,0.059627436,"(x0 * 0.0797725) + x1"
7,0.0052673602,"(x1 * 0.1114676) * (x0 + 6.633927)"
9,0.0052468767,"(x1 * ((x0 * 0.11119742) + 0.7484135)) + -0.010447658"
11,0.0019222337,"((-2.9605033 - x0) * (x1 * -2.8542445)) / (x0 + 12.07314)"
13,0.0019151067,"x1 * (0.69777656 - (((-4.6144376 / (x0 + 19.651976)) + 0.059960864) * x0))"
15,0.0019103629,"(((x1 * (-2.81293 / (x0 + 12.012846))) + -0.0029566803) * (-3.031412 - x0)) - 0.020073738"
17,0.0018174953,"(-2.9581199 - x0) * ((x1 * -2.8716528) / (x0 + ((0.10130107 / (-1.3754871 - x0)) + 12.193625)))"
19,0.0017874126,"((x1 * -2.8672955) / ((x0 + (0.0317817 / ((x1 * -2.8684144) + 0.9443549))) + 12.195698)) * (-2.9760995 - x0)"
21,0.0017415945,"(-2.980088 - x0) * ((-2.8677402 / ((x0 + 12.1868105) + (0.064934045 / (-1.4379263 - (x0 * (-0.34833112 - x0)))))) * x1)"
25,0.0016964055,"(-2.9804566 - x0) * (x1 * (-2.8663642 / ((x0 + 12.187156) + (0.071085796 / (((x0 * -2.8663642) - -2.9804573) * (-1.4374902 - (x0 * -0.21877101)))))))"
27,0.0016873319,"-2.8663661 * ((x1 * (-2.9804568 - x0)) / ((0.0732392 / (((x0 * -2.8697517) - (x1 + -4.5330935)) * (-1.4370475 - (x0 * -0.2187609)))) + (x0 + 12.187156)))"
29,0.0016853503,"(((-2.9804568 - x0) * -2.866367) * x1) / ((((0.0734536 / ((-1.4371254 - (x0 * -0.2187495)) * ((x0 * -2.866367) - (x1 + -4.52142)))) + x0) * 1.0050434) + 12.187156)"
