Complexity,Loss,Equation
1,0.19188091,"x1"
3,0.12648837,"x1 * 1.2107397"
5,0.06449677,"(x0 * 0.07714732) + x1"
7,0.005061753,"(x1 * (x0 - -6.677889)) * 0.11112085"
9,0.0021580877,"((-27.923733 / (x0 + 12.563469)) + 2.9189425) * x1"
11,0.0021408014,"(((-27.807415 / (x0 + 12.544949)) + 2.92063) * x1) - 0.009293217"
13,0.0021061185,"x1 * ((-3.0398993 / (x0 + 4.8454013)) + ((x0 * 0.05968443) + 1.332314))"
15,0.0020413243,"x1 * ((2.9195216 + (-27.925797 / (12.555712 + x0))) + (-0.0007135149 / (x1 - 0.32510546)))"
17,0.0019871383,"x1 * ((-27.9238 / (((0.030307125 / ((x1 + x1) + -0.6659693)) + x0) + 12.563299)) + 2.9184115)"
19,0.0019822374,"(x1 * ((-27.9238 / (((0.030307125 / ((x1 + x1) + -0.6659693)) + 12.563299) + x0)) + 2.9184115)) + -0.0018631152"
21,0.001976721,"(x1 * ((-27.923656 / (x0 + ((0.03174185 / ((x1 * (x1 + 1.6865149)) + -0.6717737)) + 12.563415))) + 2.9223459)) - 0.0060940203"
23,0.0019052587,"((-27.9238 / (x0 + ((0.026910929 / (((1.2479838 / x0) - -0.845785) * ((x1 + x1) + -0.6659693))) + 12.563299))) + 2.9184115) * x1"
25,0.0018527346,"(x1 * ((((x0 * -0.0049714604) + ((0.048595037 / (x0 + 1.6437771)) + 0.14135861)) * x0) + 0.7087239)) + (0.0010481768 / ((x1 + x1) - 0.6684279))"
27,0.0018300663,"x1 * ((((x0 * (-0.00028814116 * x0)) + (0.11111041 + (0.13391611 / (x0 + 2.0216289)))) * (x0 + (0.021843951 / (x1 + (x1 + -0.6659246))))) + 0.71127933)"
29,0.0018257824,"((((0.12827387 / (x0 + 2.001195)) + (((x0 * -0.00029819334) * x0) + 0.11214445)) * (x0 + (0.024482366 / ((x1 * (x1 + 1.6945145)) + -0.67345065)))) + 0.7121356) * x1"
