Complexity,Loss,Equation
1,0.1834446,"x1"
3,0.13483435,"x1 * 1.1846701"
5,0.059627436,"(x0 * 0.079777226) + x1"
7,0.0052673607,"((x0 + 6.6343236) * 0.1114644) * x1"
8,0.0020587125,"sqrt(x0 + 2.0335174) * (x1 * 0.49829033)"
10,0.0020314849,"(sqrt(x0 + 1.7731098) + 0.15565173) * (x1 * 0.47939238)"
11,0.0019539197,"((((x0 * -0.0075507886) + 0.16634464) * x0) + 0.69598085) * x1"
12,0.0019307425,"x1 * (sqrt(3.6992316 + x0) + ((-0.07986264 * x0) - 1.2209005))"
13,0.0019222359,"x1 * (((x0 * 0.73253274) / ((x0 * 0.34021828) + 4.104069)) - -0.69990265)"
14,0.0018999107,"x1 * (((0.22098781 - (sqrt(x0 + 1.480615) * 0.03715855)) * x0) + 0.70102483)"
16,0.0018930889,"((x0 * ((0.29138666 - (sqrt(x0 + 1.3963038) * 0.03675085)) + -0.07217844)) - -0.7014775) * x1"
17,0.0018095017,"(((0.16120578 - ((-0.0051379404 / (x0 + 1.4224402)) + (x0 * 0.0070206877))) * x0) - -0.70211977) * x1"
19,0.0018010103,"((x0 * (((0.013555128 / (x1 + (x0 + 0.8357632))) + 0.15935877) - (x0 * 0.0068780505))) - -0.70224315) * x1"
21,0.0017245585,"(((0.16001394 - ((((x1 / (0.33258945 - x1)) / (1.5080981 + x0)) + x0) * 0.0068953587)) * x0) - -0.7017789) * x1"
23,0.0017235008,"(((0.16001394 - ((((x1 / (0.33258945 - x1)) / (1.5080981 + x0)) + x0) * 0.0068953587)) * x0) - -0.7017789) * (x1 + 0.00097307214)"
25,0.0017078607,"x1 * (((0.16000357 - ((0.006970024 * x0) + ((-0.011116411 + (0.0006628949 / (0.42600638 * (0.33158213 - x1)))) / (x0 + 1.5192147)))) * x0) - -0.7017763)"
27,0.0016946279,"((x0 * (0.15529762 - (((((0.00076656946 / ((x1 / -0.23343602) + 1.4063326)) / 0.40548193) + -0.015764913) / (x0 + 1.5049049)) + (x0 * 0.0064806375)))) - -0.70749354) * x1"
28,0.0016791439,"(((0.15535101 - (((((0.0014931012 / ((x1 / -0.23360988) + 1.4069989)) + -0.014266041) / sqrt(x1)) / (x0 + 1.5049095)) + (x0 * 0.006391288))) * x0) - -0.7074992) * x1"
30,0.0016791115,"(((0.15535101 - (((((0.0014931012 / ((x1 / -0.23360988) + 1.4069989)) + -0.014266041) / sqrt(x1 * 0.9789053)) / (x0 + 1.5049095)) + (x0 * 0.006391288))) * x0) - -0.7074992) * x1"
