Complexity,Loss,Equation
1,0.17253071,"x1"
3,0.15442348,"x1 * 1.1084958"
5,0.06953603,"x1 + (x0 * 0.072953254)"
7,0.003245578,"x1 * ((x0 + 6.1125717) * 0.117557734)"
9,9.111206e-5,"((-30.772089 / (x0 + 13.297107)) + 3.0110435) * x1"
11,9.100747e-5,"(((-30.772379 / (x0 + 13.29709)) + 3.0116358) * x1) + -0.0007830213"
13,4.229762e-6,"x1 * ((x0 * ((0.5861107 / (x0 + 5.1054735)) + 0.065029025)) + 0.7063981)"
15,4.128019e-6,"(((x0 * (0.065065674 + (0.5857508 / (x0 + 5.1055145)))) + 0.7069621) * x1) - 0.0007754176"
17,1.29563e-6,"x1 * ((x0 * ((((-0.0779816 / (x0 + 3.6700635)) + -0.0018571218) * x0) + 0.17735805)) + 0.707609)"
19,1.2435604e-6,"(((((((-0.078868404 / (x0 + 3.7085185)) + -0.0018083159) * x0) + 0.17742601) * x0) + 0.70797575) * x1) - 0.00057308486"
23,9.5082044e-7,"((((x0 / (x0 + 2.5305905)) * (x0 * -0.7199622)) * (x1 / (x0 + 9.246141))) + x1) * ((x0 * 0.1765034) + 0.7070338)"
25,9.1887784e-7,"((x1 + ((x0 * (x1 * ((x0 * -0.7195917) / (x0 + 9.246017)))) / (x0 + 2.5296562))) * ((x0 * 0.1764865) + 0.7073677)) + -0.0004354847"
27,9.1563163e-7,"((x1 + (((-0.7224624 * (x1 / (x0 + 9.305951))) + 9.7255186e-5) * (x0 * (x0 / (x0 + 2.5233462))))) - 0.00063422095) * (0.70736665 + (x0 * 0.1765389))"
29,9.140884e-7,"((x0 * 0.17662072) + 0.7072944) * ((x1 + (((x0 * (((x1 * -0.7230629) / (x0 + 9.30591)) - -0.00013666088)) - 0.00043911877) * (x0 / (x0 + 2.5225534)))) + -0.0005020676)"
